Player,Team,Season,PPG,RPG,APG,WinPct,WS,MVP,ORtg,DRtg,PER,BPM,USG%,VORP,is_outlier
Zach Randolph,MEM,12/13,15.4,11.2,1.4,0.683,7.9,0,106,99,17.9,0.2,23.1,1.5,False
Kenneth Faried,DEN,12/13,11.5,9.2,1.0,0.695,7.8,0,116,102,18.5,1.1,17.7,1.7,False
Al Jefferson,UTA,12/13,17.8,9.2,2.1,0.524,7.7,0,109,104,20.9,2.4,25.3,2.8,False
Paul Millsap,UTA,12/13,14.6,7.1,2.6,0.524,7.6,0,112,104,19.8,2.7,22.4,2.8,False
Dwight Howard,LAL,12/13,17.1,12.4,1.4,0.549,7.6,0,105,100,19.4,0.6,22.2,1.8,True
Thaddeus Young,PHI,12/13,14.8,7.5,1.6,0.415,7.4,0,109,103,18.2,1.2,19.8,2.1,False
Ty Lawson,DEN,12/13,16.7,2.7,6.9,0.695,7.4,0,113,109,17.9,2.0,22.3,2.5,False
Joakim Noah,CHI,12/13,11.9,11.1,4.0,0.549,7.3,0,107,99,18.1,3.4,17.2,3.3,False
Amir Johnson,TOR,12/13,10.0,7.5,1.5,0.415,7.3,0,116,104,17.3,1.0,16.1,1.8,False
Paul Pierce,BOS,12/13,18.6,6.3,4.8,0.506,7.2,0,106,102,19.1,3.6,27.4,3.6,False
Danilo Gallinari,DEN,12/13,16.2,5.2,2.5,0.695,7.2,0,116,107,16.7,2.8,21.3,2.8,False
LaMarcus Aldridge,POR,12/13,21.1,9.1,2.6,0.402,7.2,0,108,107,20.4,1.3,26.5,2.3,False
Jimmy Butler,CHI,12/13,8.6,4.0,1.4,0.549,7.0,0,121,104,15.2,2.0,14.6,2.1,False
Kevin Martin,OKC,12/13,14.0,2.3,1.4,0.732,7.0,0,117,107,16.0,1.0,21.0,1.6,False
Chandler Parsons,HOU,12/13,15.5,5.3,3.5,0.549,7.0,0,113,108,15.3,2.0,18.3,2.8,False
J.J. Hickson,POR,12/13,12.7,10.4,1.1,0.402,6.9,0,113,106,19.7,0.2,19.9,1.3,False
Thabo Sefolosha,OKC,12/13,7.6,3.9,1.5,0.732,6.8,0,121,103,12.8,2.4,11.4,2.5,False
Ersan İlyasova,MIL,12/13,13.2,7.1,1.6,0.463,6.7,0,114,104,18.3,2.0,20.5,2.0,False
J.R. Smith,NYK,12/13,18.1,5.3,2.7,0.659,6.7,0,107,106,17.6,1.3,26.5,2.2,False
Nikola Peković,MIN,12/13,16.3,8.8,0.9,0.378,6.7,0,115,106,20.2,0.5,22.5,1.2,False
Ryan Anderson,NOP,12/13,16.2,6.4,1.2,0.329,6.5,0,114,112,18.1,2.0,24.0,2.5,False
Kosta Koufos,DEN,12/13,8.0,6.9,0.4,0.695,6.5,0,122,103,17.2,0.6,14.5,1.2,False
Kyle Korver,ATL,12/13,10.9,4.0,2.0,0.537,6.4,0,119,105,13.9,1.8,14.5,2.2,False
Luol Deng,CHI,12/13,16.5,6.3,3.0,0.549,6.3,0,105,105,15.1,0.8,21.5,2.0,False
Martell Webster,WAS,12/13,11.4,3.9,1.9,0.354,6.3,0,115,106,13.9,0.8,16.9,1.6,False
Matt Barnes,LAC,12/13,10.3,4.6,1.5,0.683,6.3,0,113,103,15.5,1.8,18.1,2.0,False
Kawhi Leonard,SAS,12/13,11.9,6.0,1.6,0.707,6.2,0,114,99,16.4,3.1,16.4,2.3,False
