Player,Team,Season,PPG,RPG,APG,Win%,MVP
Derrick White,SAS,19/20,11.3,3.3,3.5,0.451,0
Bryn Forbes,SAS,19/20,11.2,2.0,1.7,0.451,0
Jarrett Allen,BRK,19/20,11.1,9.6,1.6,0.486,0
Cody Zeller,CHO,19/20,11.1,7.1,1.5,0.354,0
Cedi Osman,CLE,19/20,11.0,3.6,2.4,0.292,0
Mychal Mulder,GSW,19/20,11.0,3.3,1.1,0.231,0
Rodney Hood,POR,19/20,11.0,3.4,1.5,0.473,0
Dejounte Murray,SAS,19/20,10.9,5.8,4.1,0.451,0
Ish Smith,WAS,19/20,10.9,3.2,4.9,0.347,0
Cameron Payne,PHO,19/20,10.9,3.9,3.0,0.466,0
Steven Adams,OKC,19/20,10.9,9.3,2.3,0.611,0
