Player,Team,Season,PPG,RPG,APG,Win%,MVP
Andre Ingram,LAL,17/18,12.0,3.0,3.5,0.427,0
Robin Lopez,CHI,17/18,11.8,4.5,1.9,0.329,0
Thaddeus Young,IND,17/18,11.8,6.3,1.9,0.585,0
Kelly Oubre Jr.,WAS,17/18,11.8,4.5,1.2,0.524,0
Bogdan Bogdanović,SAC,17/18,11.8,2.9,3.3,0.329,0
Tyler Johnson,MIA,17/18,11.7,3.4,2.3,0.537,0
Trevor Ariza,HOU,17/18,11.7,4.4,1.6,0.793,0
Domantas Sabonis,IND,17/18,11.6,7.7,2.0,0.585,0
J.J. Barea,DAL,17/18,11.6,2.9,6.3,0.293,0
Nicolas Batum,CHO,17/18,11.6,4.8,5.5,0.439,0
De'Aaron Fox,SAC,17/18,11.6,2.8,4.4,0.329,0
Markieff Morris,WAS,17/18,11.5,5.6,1.9,0.524,0
Rudy Gay,SAS,17/18,11.5,5.1,1.3,0.573,0
Kelly Olynyk,MIA,17/18,11.5,5.7,2.7,0.537,0
Joe Ingles,UTA,17/18,11.5,4.2,4.8,0.585,0
Reggie Bullock,DET,17/18,11.3,2.5,1.5,0.476,0
Terry Rozier,BOS,17/18,11.3,4.7,2.9,0.671,0
Wayne Ellington,MIA,17/18,11.2,2.8,1.0,0.537,0
Frank Kaminsky,CHO,17/18,11.1,3.6,1.6,0.439,0
Draymond Green,GSW,17/18,11.0,7.6,7.3,0.707,0
Montrezl Harrell,LAC,17/18,11.0,4.0,1.0,0.512,0
Dillon Brooks,MEM,17/18,11.0,3.1,1.6,0.268,0
Ish Smith,DET,17/18,10.9,2.7,4.4,0.476,0
Jeff Green,CLE,17/18,10.8,3.2,1.3,0.61,0
Joe Harris,BRK,17/18,10.8,3.3,1.6,0.341,0
James Johnson,MIA,17/18,10.8,4.9,3.8,0.537,0
Damion Lee,ATL,17/18,10.7,4.7,1.9,0.293,0
John Collins,ATL,17/18,10.5,7.3,1.3,0.293,0
JaMychal Green,MEM,17/18,10.3,8.4,1.4,0.268,0
Jamal Crawford,MIN,17/18,10.3,1.2,2.3,0.573,0
Yogi Ferrell,DAL,17/18,10.2,3.0,2.5,0.293,0
D.J. Augustin,ORL,17/18,10.2,2.1,3.8,0.305,0
Marcus Smart,BOS,17/18,10.2,3.5,4.8,0.671,0
Denzel Valentine,CHI,17/18,10.2,5.1,3.2,0.329,0
Lonzo Ball,LAL,17/18,10.2,6.9,7.2,0.427,0
Pau Gasol,SAS,17/18,10.1,8.0,3.1,0.573,0
Patty Mills,SAS,17/18,10.0,1.9,2.8,0.573,0
C.J. Miles,TOR,17/18,10.0,2.2,0.8,0.72,0
Wilson Chandler,DEN,17/18,10.0,5.4,2.1,0.561,0
Dewayne Dedmon,ATL,17/18,10.0,7.9,1.5,0.293,0
Trey Lyles,DEN,17/18,9.9,4.8,1.2,0.561,0
Tyrone Wallace,LAC,17/18,9.7,3.5,2.4,0.512,0
Mario Hezonja,ORL,17/18,9.6,3.7,1.4,0.305,0
Marvin Williams,CHO,17/18,9.5,4.7,1.2,0.439,0
Miloš Teodosić,LAC,17/18,9.5,2.8,4.6,0.512,0
Andrew Harrison,MEM,17/18,9.5,2.3,3.2,0.268,0
Quinn Cook,GSW,17/18,9.5,2.5,2.7,0.707,0
Ryan Anderson,HOU,17/18,9.3,5.0,0.9,0.793,0
Al-Farouq Aminu,POR,17/18,9.3,7.6,1.2,0.598,0
Wayne Selden,MEM,17/18,9.3,1.6,1.9,0.268,0
Lance Stephenson,IND,17/18,9.2,5.2,2.9,0.585,0
Kyle Korver,CLE,17/18,9.2,2.3,1.2,0.61,0
Michael Kidd-Gilchrist,CHO,17/18,9.2,4.1,1.0,0.439,0
Troy Daniels,PHO,17/18,8.9,1.6,0.6,0.256,0
Anthony Tolliver,DET,17/18,8.9,3.1,1.1,0.476,0
Manu Ginóbili,SAS,17/18,8.9,2.2,2.5,0.573,0
Cameron Payne,CHI,17/18,8.8,2.8,4.5,0.329,0
Mike Scott,WAS,17/18,8.8,3.2,1.1,0.524,0
John Henson,MIL,17/18,8.8,6.8,1.5,0.537,0
Johnathan Motley,DAL,17/18,8.7,4.5,0.6,0.293,0
Skal Labissière,SAC,17/18,8.7,4.8,1.2,0.329,0
Terrence Ross,ORL,17/18,8.7,3.0,1.6,0.305,0
Shabazz Napier,POR,17/18,8.7,2.3,2.0,0.598,0
Monta Ellis,GSW,10/11,24.1,3.5,5.6,0.439,0
Kevin Martin,HOU,10/11,23.5,3.2,2.5,0.524,0
Eric Gordon,LAC,10/11,22.3,2.9,4.4,0.39,0
Russell Westbrook,OKC,10/11,21.9,4.6,8.2,0.671,0
LaMarcus Aldridge,POR,10/11,21.8,8.8,2.1,0.585,0
Andrea Bargnani,TOR,10/11,21.4,5.2,1.8,0.268,0
Danny Granger,IND,10/11,20.5,5.4,2.6,0.451,0
Brook Lopez,NJN,10/11,20.4,6.0,1.6,0.293,0
Kevin Love,MIN,10/11,20.2,15.2,2.5,0.207,0
Zach Randolph,MEM,10/11,20.1,12.2,2.2,0.561,0
Rudy Gay,MEM,10/11,19.8,6.2,2.8,0.561,0
Michael Beasley,MIN,10/11,19.2,5.6,2.2,0.207,0
Paul Pierce,BOS,10/11,18.9,5.4,3.2,0.683,0
David West,NOH,10/11,18.9,7.6,2.3,0.561,0
Pau Gasol,LAL,10/11,18.8,10.2,3.3,0.695,0
Chris Bosh,MIA,10/11,18.7,8.3,1.9,0.707,0
Al Jefferson,UTA,10/11,18.6,9.7,1.8,0.476,0
Stephen Curry,GSW,10/11,18.6,3.9,5.8,0.439,0
Stephen Jackson,CHO,10/11,18.5,4.5,3.6,0.415,0
Luis Scola,HOU,10/11,18.3,8.2,2.5,0.524,0
Joe Johnson,ATL,10/11,18.2,4.0,4.7,0.537,0
Antawn Jamison,CLE,10/11,18.0,6.7,1.7,0.232,0
Tyreke Evans,SAC,10/11,17.8,4.8,5.6,0.293,0
Carlos Boozer,CHI,10/11,17.5,9.6,2.5,0.756,0
Luol Deng,CHI,10/11,17.4,5.8,2.8,0.756,0
Nick Young,WAS,10/11,17.4,2.7,1.2,0.28,0
Paul Millsap,UTA,10/11,17.3,7.6,2.5,0.476,0
DeMar DeRozan,TOR,10/11,17.2,3.8,1.8,0.268,0
Andray Blatche,WAS,10/11,16.8,8.2,2.2,0.28,0
Josh Smith,ATL,10/11,16.5,8.5,3.3,0.537,0
Ray Allen,BOS,10/11,16.5,3.4,2.7,0.683,0
David Lee,GSW,10/11,16.5,9.8,3.2,0.439,0
John Wall,WAS,10/11,16.4,4.6,8.3,0.28,0
Dorell Wright,GSW,10/11,16.4,5.3,3.0,0.439,0
Brandon Jennings,MIL,10/11,16.2,3.7,4.8,0.427,0
Wesley Matthews,POR,10/11,15.9,3.1,2.0,0.585,0
Jason Terry,DAL,10/11,15.8,1.9,4.1,0.695,0
Rodney Stuckey,DET,10/11,15.5,3.1,5.2,0.366,0
Al Horford,ATL,10/11,15.3,9.3,3.5,0.537,0
Caron Butler,DAL,10/11,15.0,4.1,1.6,0.695,0
Elton Brand,PHI,10/11,15.0,8.3,1.5,0.5,0
Kevin Garnett,BOS,10/11,14.9,8.9,2.4,0.683,0
Steve Nash,PHO,10/11,14.7,3.5,11.4,0.488,0
Nenê,DEN,10/11,14.5,7.6,2.0,0.61,0
Lamar Odom,LAL,10/11,14.4,8.7,3.0,0.695,0
D.J. Augustin,CHO,10/11,14.4,2.7,6.1,0.415,0
Jamal Crawford,ATL,10/11,14.2,1.7,3.2,0.537,0
Richard Hamilton,DET,10/11,14.1,2.3,3.1,0.366,0
DeMarcus Cousins,SAC,10/11,14.1,8.6,2.5,0.293,0
Andre Iguodala,PHI,10/11,14.1,5.8,6.3,0.5,0
Tayshaun Prince,DET,10/11,14.1,4.2,2.8,0.366,0
John Salmons,MIL,10/11,14.0,3.6,3.5,0.427,0
Jrue Holiday,PHI,10/11,14.0,4.0,6.5,0.5,0
J.J. Hickson,CLE,10/11,13.8,8.7,1.1,0.232,0
Beno Udrih,SAC,10/11,13.7,3.4,4.9,0.293,0
Lou Williams,PHI,10/11,13.7,2.0,3.4,0.5,0
Mike Conley,MEM,10/11,13.7,3.0,6.5,0.561,0
Kyle Lowry,HOU,10/11,13.5,4.1,6.7,0.524,0
Tim Duncan,SAS,10/11,13.4,8.9,2.7,0.744,0
Ramon Sessions,CLE,10/11,13.3,3.1,5.2,0.232,0
Leandro Barbosa,TOR,10/11,13.3,1.7,2.1,0.268,0
Grant Hill,PHO,10/11,13.2,4.2,2.5,0.488,0
Anthony Morrow,NJN,10/11,13.2,3.0,1.2,0.293,0
Darren Collison,IND,10/11,13.2,2.8,5.1,0.451,0
Jameer Nelson,ORL,10/11,13.1,3.0,6.0,0.634,0
C.J. Miles,UTA,10/11,12.8,3.3,1.7,0.476,0
Andrew Bogut,MIL,10/11,12.8,11.1,2.0,0.427,0
Thaddeus Young,PHI,10/11,12.7,5.3,1.0,0.5,0
Andre Miller,POR,10/11,12.7,3.7,7.0,0.585,0
Channing Frye,PHO,10/11,12.7,6.7,1.2,0.488,0
Roy Hibbert,IND,10/11,12.7,7.5,2.0,0.451,0
Arron Afflalo,DEN,10/11,12.6,3.6,2.4,0.61,0
Shawn Marion,DAL,10/11,12.5,6.9,1.4,0.695,0
Chris Kaman,LAC,10/11,12.4,7.0,1.4,0.39,0
Nicolas Batum,POR,10/11,12.4,4.5,1.5,0.585,0
J.R. Smith,DEN,10/11,12.3,4.1,2.2,0.61,0
Brandon Roy,POR,10/11,12.2,2.6,2.7,0.585,0
James Harden,OKC,10/11,12.2,3.1,2.1,0.671,0
Corey Maggette,MIL,10/11,12.0,3.6,1.3,0.427,0
Luke Ridnour,MIN,10/11,11.8,2.8,5.4,0.207,0
Marc Gasol,MEM,10/11,11.7,7.0,2.5,0.561,0
Glen Davis,BOS,10/11,11.7,5.4,1.2,0.683,0
Andrei Kirilenko,UTA,10/11,11.7,5.1,3.0,0.476,0
Joakim Noah,CHI,10/11,11.7,10.4,2.2,0.756,0
Ty Lawson,DEN,10/11,11.7,2.6,4.7,0.61,0
Daniel Gibson,CLE,10/11,11.6,2.6,3.0,0.232,0
George Hill,SAS,10/11,11.6,2.6,2.5,0.744,0
Carlos Delfino,MIL,10/11,11.5,4.1,2.3,0.427,0
Andrew Bynum,LAL,10/11,11.3,9.4,1.4,0.695,0
Drew Gooden,MIL,10/11,11.3,6.8,1.3,0.427,0
O.J. Mayo,MEM,10/11,11.3,2.4,2.0,0.561,0
Boris Diaw,CHO,10/11,11.3,5.0,4.1,0.415,0
Brandon Bass,ORL,10/11,11.2,5.6,0.8,0.634,0
Ben Gordon,DET,10/11,11.2,2.4,2.1,0.366,0
Mike Dunleavy,IND,10/11,11.2,4.5,1.7,0.451,0
Linas Kleiza,TOR,10/11,11.2,4.5,1.0,0.268,0
Charlie Villanueva,DET,10/11,11.1,3.9,0.6,0.366,0
Trevor Ariza,NOH,10/11,11.0,5.4,2.2,0.561,0
Richard Jefferson,SAS,10/11,11.0,3.8,1.3,0.744,0
Tyler Hansbrough,IND,10/11,11.0,5.2,0.6,0.451,0
Ryan Anderson,ORL,10/11,10.6,5.5,0.8,0.634,0
Jared Dudley,PHO,10/11,10.6,3.9,1.3,0.488,0
Toney Douglas,NYK,10/11,10.6,3.0,3.0,0.512,0
Al Harrington,DEN,10/11,10.5,4.5,1.4,0.61,0
Jodie Meeks,PHI,10/11,10.5,2.3,1.1,0.5,0
Marco Belinelli,NOH,10/11,10.5,1.9,1.2,0.561,0
Marvin Williams,ATL,10/11,10.4,4.8,1.4,0.537,0
Emeka Okafor,NOH,10/11,10.3,9.5,0.6,0.561,0
Tyrus Thomas,CHO,10/11,10.2,5.5,0.7,0.415,0
Yao Ming,HOU,10/11,10.2,5.4,0.8,0.524,0
Tyson Chandler,DAL,10/11,10.1,9.4,0.4,0.695,0
JaVale McGee,WAS,10/11,10.1,8.0,0.5,0.28,0
JJ Redick,ORL,10/11,10.1,1.9,1.7,0.634,0
Kris Humphries,NJN,10/11,10.0,10.4,1.1,0.293,0
Serge Ibaka,OKC,10/11,9.9,7.6,0.3,0.671,0
Martell Webster,MIN,10/11,9.8,3.2,1.2,0.207,0
José Calderón,TOR,10/11,9.8,3.0,8.9,0.268,0
Chase Budinger,HOU,10/11,9.8,3.6,1.6,0.524,0
Gary Neal,SAS,10/11,9.8,2.4,1.2,0.744,0
Randy Foye,LAC,10/11,9.8,1.6,2.7,0.39,0
Landry Fields,NYK,10/11,9.7,6.4,1.9,0.512,0
Francisco García,SAC,10/11,9.7,2.3,1.2,0.293,0
Gerald Henderson,CHO,10/11,9.6,3.0,1.5,0.415,0
Jordan Farmar,NJN,10/11,9.6,2.4,5.0,0.293,0
Amir Johnson,TOR,10/11,9.6,6.4,1.1,0.268,0
Ersan İlyasova,MIL,10/11,9.5,6.1,0.9,0.427,0
J.J. Barea,DAL,10/11,9.5,2.0,3.9,0.695,0
Greg Monroe,DET,10/11,9.4,7.5,1.3,0.366,0
Sonny Weems,TOR,10/11,9.2,2.6,1.8,0.268,0
Reggie Williams,GSW,10/11,9.2,2.7,1.5,0.439,0
Travis Outlaw,NJN,10/11,9.2,4.0,1.0,0.293,0
Shaquille O'Neal,BOS,10/11,9.2,4.8,0.7,0.683,0
Darrell Arthur,MEM,10/11,9.1,4.3,0.7,0.561,0
Anderson Varejão,CLE,10/11,9.1,9.7,1.5,0.232,0
Brandon Rush,IND,10/11,9.1,3.2,0.9,0.451,0
Wesley Johnson,MIN,10/11,9.0,3.0,1.9,0.207,0
Tony Allen,MEM,10/11,8.9,2.7,1.4,0.561,0
Jason Thompson,SAC,10/11,8.8,6.1,1.2,0.293,0
Darko Miličić,MIN,10/11,8.8,5.2,1.5,0.207,0
Willie Green,NOH,10/11,8.7,2.1,1.0,0.561,0
Shannon Brown,LAL,10/11,8.7,1.9,1.2,0.695,0
Kenyon Martin,DEN,10/11,8.6,6.2,2.3,0.61,0
Omri Casspi,SAC,10/11,8.6,4.3,1.0,0.293,0
Rudy Fernández,POR,10/11,8.6,2.2,2.5,0.585,0
Metta World Peace,LAL,10/11,8.5,3.3,2.1,0.695,0
Josh Howard,WAS,10/11,8.4,4.1,1.3,0.28,0
Rodrigue Beaubois,DAL,10/11,8.4,1.9,2.3,0.695,0
Hakim Warrick,PHO,10/11,8.4,3.7,0.9,0.488,0
Anthony Parker,CLE,10/11,8.3,3.0,3.0,0.232,0
DeJuan Blair,SAS,10/11,8.3,7.0,1.0,0.744,0
Kyle Korver,CHI,10/11,8.3,1.8,1.5,0.756,0
Courtney Lee,HOU,10/11,8.3,2.6,1.2,0.524,0
Samuel Dalembert,SAC,10/11,8.1,8.2,0.8,0.293,0
Udonis Haslem,MIA,10/11,8.0,8.2,0.5,0.707,0
Tracy McGrady,DET,10/11,8.0,3.5,3.5,0.366,0
Raja Bell,UTA,10/11,8.0,2.6,1.7,0.476,0
Kwame Brown,CHO,10/11,7.9,6.8,0.7,0.415,0
Will Bynum,DET,10/11,7.9,1.2,3.2,0.366,0
Joel Embiid,PHI,23/24,34.7,11.0,5.6,0.573,0
Devin Booker,PHO,23/24,27.1,4.5,6.9,0.598,0
Donovan Mitchell,CLE,23/24,26.6,5.1,6.1,0.585,0
De'Aaron Fox,SAC,23/24,26.6,4.6,5.6,0.561,0
Stephen Curry,GSW,23/24,26.4,4.5,5.1,0.561,0
Tyrese Maxey,PHI,23/24,25.9,3.7,6.2,0.573,0
Trae Young,ATL,23/24,25.7,2.8,10.8,0.439,0
LeBron James,LAL,23/24,25.7,7.3,8.3,0.573,0
Kyrie Irving,DAL,23/24,25.6,5.0,5.2,0.61,0
Ja Morant,MEM,23/24,25.1,5.6,8.1,0.329,0
Anthony Davis,LAL,23/24,24.7,12.6,3.5,0.573,0
Damian Lillard,MIL,23/24,24.3,4.4,7.0,0.598,0
DeMar DeRozan,CHI,23/24,24.0,4.3,5.3,0.476,0
Julius Randle,NYK,23/24,24.0,9.2,5.0,0.61,0
LaMelo Ball,CHO,23/24,23.9,5.1,8.0,0.256,0
Desmond Bane,MEM,23/24,23.7,4.4,5.5,0.329,0
Kawhi Leonard,LAC,23/24,23.7,6.1,3.6,0.622,0
Lauri Markkanen,UTA,23/24,23.2,8.2,2.0,0.378,0
Jaylen Brown,BOS,23/24,23.0,5.5,3.6,0.78,0
Zion Williamson,NOP,23/24,22.9,5.8,5.0,0.598,0
Cade Cunningham,DET,23/24,22.7,4.3,7.5,0.171,0
Anfernee Simons,POR,23/24,22.6,3.6,5.5,0.256,0
Paul George,LAC,23/24,22.6,5.2,3.5,0.622,0
Paolo Banchero,ORL,23/24,22.6,6.9,5.4,0.573,0
Jaren Jackson Jr.,MEM,23/24,22.5,5.5,2.3,0.329,0
Dejounte Murray,ATL,23/24,22.5,5.3,6.4,0.439,0
Cam Thomas,BRK,23/24,22.5,3.2,2.9,0.39,0
Kyle Kuzma,WAS,23/24,22.2,6.6,4.2,0.183,0
Karl-Anthony Towns,MIN,23/24,21.8,8.3,3.0,0.683,0
Victor Wembanyama,SAS,23/24,21.4,10.6,3.9,0.268,0
Jamal Murray,DEN,23/24,21.2,4.1,6.5,0.695,0
Alperen Şengün,HOU,23/24,21.1,9.3,5.0,0.5,0
Miles Bridges,CHO,23/24,21.0,7.3,3.3,0.256,0
Jerami Grant,POR,23/24,21.0,3.5,2.8,0.256,0
Tyler Herro,MIA,23/24,20.8,5.3,4.5,0.561,0
Brandon Ingram,NOP,23/24,20.8,5.1,5.7,0.598,0
Jimmy Butler,MIA,23/24,20.8,5.3,5.0,0.561,0
Tyrese Haliburton,IND,23/24,20.1,3.9,10.9,0.573,0
Kristaps Porziņģis,BOS,23/24,20.1,7.2,2.0,0.78,0
CJ McCollum,NOP,23/24,20.0,4.3,4.6,0.598,0
Scottie Barnes,TOR,23/24,19.9,8.2,6.0,0.305,0
Franz Wagner,ORL,23/24,19.7,5.3,3.7,0.573,0
Jalen Green,HOU,23/24,19.6,5.2,3.5,0.5,0
Mikal Bridges,BRK,23/24,19.6,4.5,3.6,0.39,0
Zach LaVine,CHI,23/24,19.5,5.2,3.9,0.476,0
Devin Vassell,SAS,23/24,19.5,3.8,4.1,0.268,0
Bam Adebayo,MIA,23/24,19.3,10.4,3.9,0.561,0
Coby White,CHI,23/24,19.1,4.5,5.1,0.476,0
Jalen Williams,OKC,23/24,19.1,4.0,4.5,0.695,0
Collin Sexton,UTA,23/24,18.7,2.6,4.9,0.378,0
Bradley Beal,PHO,23/24,18.2,4.4,5.0,0.598,0
Darius Garland,CLE,23/24,18.0,2.7,6.5,0.585,0
Nikola Vučević,CHI,23/24,18.0,10.5,3.3,0.476,0
D'Angelo Russell,LAL,23/24,18.0,3.1,6.3,0.573,0
Klay Thompson,GSW,23/24,17.9,3.3,2.3,0.561,0
Fred VanVleet,HOU,23/24,17.4,3.8,8.1,0.5,0
Jordan Poole,WAS,23/24,17.4,2.7,4.4,0.183,0
Brandon Miller,CHO,23/24,17.3,4.3,2.4,0.256,0
Tobias Harris,PHI,23/24,17.2,6.5,3.1,0.573,0
Jordan Clarkson,UTA,23/24,17.1,3.4,5.0,0.378,0
Myles Turner,IND,23/24,17.1,6.9,1.3,0.573,0
Bogdan Bogdanović,ATL,23/24,16.9,3.4,3.1,0.439,0
Michael Porter Jr.,DEN,23/24,16.7,7.0,1.5,0.695,0
Deandre Ayton,POR,23/24,16.7,11.1,1.6,0.256,0
James Harden,LAC,23/24,16.6,5.1,8.5,0.622,0
Chet Holmgren,OKC,23/24,16.5,7.9,2.4,0.695,0
Jarrett Allen,CLE,23/24,16.5,10.5,2.7,0.585,0
Jonathan Kuminga,GSW,23/24,16.1,4.8,2.2,0.561,0
Jalen Johnson,ATL,23/24,16.0,8.7,3.6,0.439,0
Shaedon Sharpe,POR,23/24,15.9,5.0,2.9,0.256,0
Austin Reaves,LAL,23/24,15.9,4.3,5.5,0.573,0
Malcolm Brogdon,POR,23/24,15.7,3.8,5.5,0.256,0
Keldon Johnson,SAS,23/24,15.7,5.5,2.8,0.268,0
Evan Mobley,CLE,23/24,15.7,9.4,3.2,0.585,0
De'Andre Hunter,ATL,23/24,15.6,3.9,1.5,0.439,0
Donte DiVincenzo,NYK,23/24,15.5,3.7,2.7,0.61,0
Kelly Oubre Jr.,PHI,23/24,15.4,5.0,1.5,0.573,0
Malik Monk,SAC,23/24,15.4,2.9,5.1,0.561,0
Jaden Ivey,DET,23/24,15.4,3.4,3.8,0.171,0
Keegan Murray,SAC,23/24,15.2,5.5,1.7,0.561,0
Derrick White,BOS,23/24,15.2,4.2,5.2,0.78,0
John Collins,UTA,23/24,15.1,8.5,1.1,0.378,0
Khris Middleton,MIL,23/24,15.1,4.7,5.3,0.598,0
Trey Murphy III,NOP,23/24,14.8,4.9,2.2,0.598,0
Deni Avdija,WAS,23/24,14.7,7.2,3.8,0.183,0
GG Jackson II,MEM,23/24,14.6,4.1,1.2,0.329,0
Bennedict Mathurin,IND,23/24,14.5,4.0,2.0,0.573,0
Marcus Smart,MEM,23/24,14.5,2.6,4.3,0.329,0
Tim Hardaway Jr.,DAL,23/24,14.4,3.2,1.8,0.61,0
Scoot Henderson,POR,23/24,14.0,3.1,5.4,0.256,0
Caris LeVert,CLE,23/24,14.0,4.1,5.1,0.585,0
Rudy Gobert,MIN,23/24,14.0,12.9,1.3,0.683,0
Norman Powell,LAC,23/24,13.9,2.6,1.1,0.622,0
Aaron Gordon,DEN,23/24,13.9,6.5,3.5,0.695,0
Jalen Duren,DET,23/24,13.8,11.6,2.4,0.171,0
Bobby Portis,MIL,23/24,13.8,7.4,1.3,0.598,0
Jabari Smith Jr.,HOU,23/24,13.7,8.1,1.6,0.5,0
Gary Trent Jr.,TOR,23/24,13.7,2.6,1.7,0.305,0
Saddiq Bey,ATL,23/24,13.7,6.5,1.5,0.439,0
Rui Hachimura,LAL,23/24,13.6,4.3,1.2,0.573,0
Grayson Allen,PHO,23/24,13.5,3.9,3.0,0.598,0
Naz Reid,MIN,23/24,13.5,5.2,1.3,0.683,0
Cameron Johnson,BRK,23/24,13.4,4.3,2.4,0.39,0
Corey Kispert,WAS,23/24,13.4,2.8,2.0,0.183,0
Andrew Wiggins,GSW,23/24,13.2,4.5,1.7,0.561,0
Keyonte George,UTA,23/24,13.0,2.8,4.4,0.378,0
Scotty Pippen Jr.,MEM,23/24,12.9,3.2,4.7,0.329,0
Duncan Robinson,MIA,23/24,12.9,2.5,2.8,0.561,0
Mark Williams,CHO,23/24,12.7,9.7,1.2,0.256,0
Dillon Brooks,HOU,23/24,12.7,3.4,1.7,0.5,0
Jalen Suggs,ORL,23/24,12.6,3.1,2.7,0.573,0
Brook Lopez,MIL,23/24,12.5,5.2,1.6,0.598,0
Jrue Holiday,BOS,23/24,12.5,5.4,4.8,0.78,0
Josh Giddey,OKC,23/24,12.3,6.4,4.8,0.695,0
Cam Whitmore,HOU,23/24,12.3,3.8,0.7,0.5,0
Javonte Green,CHI,23/24,12.2,7.4,0.6,0.476,0
Jonas Valančiūnas,NOP,23/24,12.2,8.8,2.1,0.598,0
Harrison Barnes,SAC,23/24,12.2,3.0,1.2,0.561,0
Max Strus,CLE,23/24,12.2,4.8,4.0,0.585,0
Aaron Nesmith,IND,23/24,12.2,3.8,1.5,0.573,0
Ayo Dosunmu,CHI,23/24,12.2,2.8,3.2,0.476,0
Tyus Jones,WAS,23/24,12.0,2.7,7.3,0.183,0
Jaime Jaquez Jr.,MIA,23/24,11.9,3.8,2.6,0.561,0
Nic Claxton,BRK,23/24,11.8,9.9,2.1,0.39,0
Ivica Zubac,LAC,23/24,11.7,9.2,1.4,0.622,0
Jeremy Sochan,SAS,23/24,11.6,6.4,3.4,0.268,0
Cole Anthony,ORL,23/24,11.6,3.8,2.9,0.573,0
Clint Capela,ATL,23/24,11.5,10.6,1.2,0.439,0
Mike Conley,MIN,23/24,11.4,2.9,5.9,0.683,0
Brandon Clarke,MEM,23/24,11.3,5.3,1.5,0.329,0
Malik Beasley,MIL,23/24,11.3,3.7,1.4,0.598,0
Zach Collins,SAS,23/24,11.2,5.4,2.8,0.268,0
Jakob Poeltl,TOR,23/24,11.1,8.6,2.5,0.305,0
Russell Westbrook,LAC,23/24,11.1,5.0,4.5,0.622,0
De'Anthony Melton,PHI,23/24,11.1,3.7,3.0,0.573,0
Eric Gordon,PHO,23/24,11.0,1.8,2.0,0.598,0
Herbert Jones,NOP,23/24,11.0,3.6,2.6,0.598,0
Luke Kennard,MEM,23/24,11.0,2.9,3.5,0.329,0
Wendell Carter Jr.,ORL,23/24,11.0,6.9,1.7,0.573,0
Isaiah Stewart,DET,23/24,10.9,6.6,1.6,0.171,0
Jusuf Nurkić,PHO,23/24,10.9,11.0,4.0,0.598,0
Luguentz Dort,OKC,23/24,10.9,3.6,1.4,0.695,0
Moritz Wagner,ORL,23/24,10.9,4.3,1.2,0.573,0
Jake LaRavia,MEM,23/24,10.8,3.7,1.7,0.329,0
Santi Aldama,MEM,23/24,10.7,5.8,2.3,0.329,0
Jaden McDaniels,MIN,23/24,10.5,3.1,1.4,0.683,0
Obi Toppin,IND,23/24,10.3,3.9,1.6,0.573,0
T.J. McConnell,IND,23/24,10.2,2.7,5.5,0.573,0
Kevin Huerter,SAC,23/24,10.2,3.5,2.6,0.561,0
Onyeka Okongwu,ATL,23/24,10.2,6.8,1.3,0.439,0
Reggie Jackson,DEN,23/24,10.2,1.9,3.8,0.695,0
Talen Horton-Tucker,UTA,23/24,10.1,2.4,3.5,0.378,0
Kentavious Caldwell-Pope,DEN,23/24,10.1,2.4,2.4,0.695,0
Alex Caruso,CHI,23/24,10.1,3.8,3.5,0.476,0
Vince Williams Jr.,MEM,23/24,10.0,5.6,3.4,0.329,0
Tre Jones,SAS,23/24,10.0,3.8,6.2,0.268,0
Caleb Martin,MIA,23/24,10.0,4.4,2.2,0.561,0
Patrick Williams,CHI,23/24,10.0,3.9,1.5,0.476,0
Josh Richardson,MIA,23/24,9.9,2.8,2.4,0.561,0
Jalen Smith,IND,23/24,9.9,5.5,1.0,0.573,0
Tari Eason,HOU,23/24,9.8,7.0,1.2,0.5,0
Lonnie Walker IV,BRK,23/24,9.7,2.2,1.3,0.39,0
Nick Richards,CHO,23/24,9.7,8.0,0.8,0.256,0
Payton Pritchard,BOS,23/24,9.6,3.2,3.4,0.78,0
Amen Thompson,HOU,23/24,9.5,6.6,2.6,0.5,0
Josh Hart,NYK,23/24,9.4,8.3,4.1,0.61,0
Isaac Okoro,CLE,23/24,9.4,3.0,1.9,0.585,0
Georges Niang,CLE,23/24,9.4,3.4,1.2,0.585,0
Brandin Podziemski,GSW,23/24,9.2,5.8,3.7,0.561,0
Andrew Nembhard,IND,23/24,9.2,2.1,4.1,0.573,0
Malaki Branham,SAS,23/24,9.2,2.0,2.1,0.268,0
Carmelo Anthony,NYK,11/12,22.6,6.3,3.6,0.545,0
LaMarcus Aldridge,POR,11/12,21.7,8.0,2.4,0.424,0
Deron Williams,NJN,11/12,21.0,3.3,8.7,0.333,0
Blake Griffin,LAC,11/12,20.7,10.9,3.2,0.606,0
Eric Gordon,NOH,11/12,20.6,2.8,3.4,0.318,0
David Lee,GSW,11/12,20.1,9.6,2.8,0.348,0
Andrea Bargnani,TOR,11/12,19.5,5.5,2.0,0.348,0
Paul Pierce,BOS,11/12,19.4,5.2,4.5,0.591,0
Brook Lopez,NJN,11/12,19.2,3.6,1.2,0.333,0
Al Jefferson,UTA,11/12,19.2,9.6,2.2,0.545,0
Brandon Jennings,MIL,11/12,19.1,3.4,5.5,0.47,0
Rudy Gay,MEM,11/12,19.0,6.4,2.3,0.621,0
Josh Smith,ATL,11/12,18.8,9.6,3.9,0.606,0
