Player,Team,Season,ORtg,DRtg,PER,BPM,USG%,VORP
Danilo Gallinari,DEN,12/13,116,107,16.7,2.8,21.3,2.8
LaMarcus Aldridge,POR,12/13,108,107,20.4,1.3,26.5,2.3
Jimmy Butler,CHI,12/13,121,104,15.2,2.0,14.6,2.1
Kevin Martin,OKC,12/13,117,107,16.0,1.0,21.0,1.6
Chandler Parsons,HOU,12/13,113,108,15.3,2.0,18.3,2.8
J.J. Hickson,POR,12/13,113,106,19.7,0.2,19.9,1.3
Thabo Sefolosha,OKC,12/13,121,103,12.8,2.4,11.4,2.5
Ersan İlyasova,MIL,12/13,114,104,18.3,2.0,20.5,2.0
J.R. Smith,NYK,12/13,107,106,17.6,1.3,26.5,2.2
Nikola Peković,MIN,12/13,115,106,20.2,0.5,22.5,1.2
Ryan Anderson,NOH,12/13,114,112,18.1,2.0,24.0,2.5
Kosta Koufos,DEN,12/13,122,103,17.2,0.6,14.5,1.2
Kyle Korver,ATL,12/13,119,105,13.9,1.8,14.5,2.2
Luol Deng,CHI,12/13,105,105,15.1,0.8,21.5,2.0
Martell Webster,WAS,12/13,115,106,13.9,0.8,16.9,1.6
Matt Barnes,LAC,12/13,113,103,15.5,1.8,18.1,2.0
Kawhi Leonard,SAS,12/13,114,99,16.4,3.1,16.4,2.3
Carl Landry,GSW,12/13,116,106,17.5,-0.2,20.0,0.8
DeAndre Jordan,LAC,12/13,113,101,17.2,-0.2,15.9,0.9
Roy Hibbert,IND,12/13,101,97,17.3,-0.3,22.5,0.9
Anthony Davis,NOH,12/13,113,104,21.7,2.5,21.8,2.1
Jeff Teague,ATL,12/13,106,106,16.8,0.3,23.0,1.5
Larry Sanders,MIL,12/13,109,99,18.7,1.0,16.9,1.5
Andrei Kirilenko,MIN,12/13,113,104,17.6,3.5,17.4,2.9
Vince Carter,DAL,12/13,111,106,17.8,3.1,23.1,2.6
Greg Monroe,DET,12/13,104,105,19.5,1.8,24.8,2.6
Nate Robinson,CHI,12/13,108,105,17.4,2.8,25.1,2.5
Danny Green,SAS,12/13,110,102,14.1,2.8,16.6,2.7
Damian Lillard,POR,12/13,108,112,16.4,0.3,24.2,1.8
Brandon Jennings,MIL,12/13,106,108,16.1,1.1,23.7,2.2
Nicolas Batum,POR,12/13,109,109,15.7,2.8,18.2,3.4
Goran Dragić,PHO,12/13,109,109,17.5,1.4,21.7,2.2
Carlos Boozer,CHI,12/13,101,100,17.1,-0.1,25.8,1.2
Nikola Vučević,ORL,12/13,106,105,17.8,-0.5,19.3,0.9
Darren Collison,DAL,12/13,111,109,16.3,0.1,19.6,1.3
Andre Iguodala,DEN,12/13,105,105,15.2,2.6,18.8,3.3
Jarrett Jack,GSW,12/13,110,108,15.9,0.5,21.0,1.4
Kevin Garnett,BOS,12/13,104,99,19.2,2.6,24.5,2.3
Kyle Lowry,TOR,12/13,110,106,17.5,2.9,20.3,2.5
Robin Lopez,NOH,12/13,114,110,18.9,0.6,20.0,1.4
Ömer Aşık,HOU,12/13,105,103,14.9,-1.6,16.3,0.3
Lance Stephenson,IND,12/13,106,101,11.8,0.0,15.2,1.2
Jeremy Lin,HOU,12/13,106,107,14.9,0.3,20.8,1.5
Jason Kidd,NYK,12/13,114,103,13.5,3.3,11.6,2.7
Gordon Hayward,UTA,12/13,113,110,16.8,2.0,22.1,2.1
Ed Davis,MEMTOR,12/13,114,102,17.8,0.2,17.6,0.9
Jamal Crawford,LAC,12/13,109,108,16.8,1.0,26.0,1.7
Andre Miller,DEN,12/13,112,109,15.7,0.9,17.9,1.6
Ray Allen,MIA,12/13,112,107,14.7,0.3,19.3,1.2
Shawn Marion,DAL,12/13,109,104,18.0,2.2,19.0,2.1
Kyrie Irving,CLE,12/13,108,110,21.4,3.7,30.2,3.0
Tristan Thompson,CLE,12/13,108,108,16.1,-1.8,18.3,0.1
Nick Collison,OKC,12/13,123,104,13.6,0.9,11.5,1.2
Mario Chalmers,MIA,12/13,110,104,13.3,0.4,16.1,1.3
Tony Allen,MEM,12/13,102,98,13.2,0.4,17.8,1.2
Joe Johnson,BRK,12/13,109,111,14.1,0.0,21.7,1.3
Isaiah Thomas,SAC,12/13,115,115,17.5,0.5,23.0,1.3
Dirk Nowitzki,DAL,12/13,111,106,19.8,3.1,24.2,2.2
Andray Blatche,BRK,12/13,107,101,21.9,2.2,26.5,1.6
Dorell Wright,PHI,12/13,112,105,16.0,2.6,18.7,2.1
JaVale McGee,DEN,12/13,112,102,20.7,1.6,21.1,1.3
Jared Dudley,PHO,12/13,114,111,14.9,0.6,17.2,1.5
Kemba Walker,CHA,12/13,105,111,18.8,1.4,25.6,2.4
Brandon Bass,BOS,12/13,107,104,12.3,-1.9,15.5,0.1
