Player,Team,Season,PPG,RPG,APG,WS
Harrison Barnes,GSW,15/16,11.7,4.9,1.8,4.9
Dwyane Wade,MIA,15/16,19.0,4.1,4.6,4.9
Victor Oladipo,ORL,15/16,16.0,4.8,3.9,4.9
Patty Mills,SAS,15/16,8.5,2.0,2.8,4.8
Jared Sullinger,BOS,15/16,10.3,8.3,2.3,4.8
Avery Bradley,BOS,15/16,15.2,2.9,2.1,4.8
Goran Dragić,MIA,15/16,14.1,3.8,5.8,4.7
Lou Williams,LAL,15/16,15.3,2.5,2.5,4.7
Jared Dudley,WAS,15/16,7.9,3.5,2.1,4.6
Shaun Livingston,GSW,15/16,6.3,2.2,3.0,4.6
Rajon Rondo,SAC,15/16,11.9,6.0,11.7,4.6
Thabo Sefolosha,ATL,15/16,6.4,4.5,1.4,4.5
Clint Capela,HOU,15/16,7.0,6.4,0.6,4.4
Ersan İlyasova,DETORL,15/16,10.4,5.4,0.9,4.4
Andre Iguodala,GSW,15/16,7.0,4.0,3.4,4.4
Patrick Beverley,HOU,15/16,9.9,3.5,3.4,4.4
Kristaps Porziņģis,NYK,15/16,14.3,7.3,1.3,4.4
Trevor Booker,UTA,15/16,5.9,5.7,1.1,4.3
Zach Randolph,MEM,15/16,15.3,7.8,2.1,4.3
Allen Crabbe,POR,15/16,10.3,2.7,1.2,4.3
Will Barton,DEN,15/16,14.4,5.8,2.5,4.3
Chandler Parsons,DAL,15/16,13.7,4.7,2.8,4.3
Monta Ellis,IND,15/16,13.8,3.3,4.7,4.3
Danny Green,SAS,15/16,7.2,3.8,1.8,4.2
Brandon Bass,LAL,15/16,7.2,4.3,1.1,4.1
Kelly Olynyk,BOS,15/16,10.0,4.1,1.5,4.1
Kent Bazemore,ATL,15/16,11.6,5.1,2.3,4.1
Andrew Wiggins,MIN,15/16,20.7,3.6,2.0,4.1
Kyle Korver,ATL,15/16,9.2,3.2,2.0,4.1
Aron Baynes,DET,15/16,6.3,4.7,0.6,4.1
Thaddeus Young,BRK,15/16,15.1,9.0,1.9,4.1
José Calderón,NYK,15/16,7.6,3.2,4.1,4.0
Evan Turner,BOS,15/16,10.5,4.9,4.4,4.0
Gary Harris,DEN,15/16,12.3,2.9,1.9,4.0
Al-Farouq Aminu,POR,15/16,10.2,6.1,1.7,4.0
Nikola Mirotić,CHI,15/16,11.8,5.5,1.5,3.9
Jordan Hill,IND,15/16,8.8,6.2,1.2,3.9
Courtney Lee,CHOMEM,15/16,9.6,2.6,1.7,3.9
Ryan Anderson,NOP,15/16,17.0,6.0,1.1,3.9
Rudy Gay,SAC,15/16,17.2,6.5,1.7,3.8
Mirza Teletović,PHO,15/16,12.2,3.8,1.1,3.8
Willie Cauley-Stein,SAC,15/16,7.0,5.3,0.6,3.8
Blake Griffin,LAC,15/16,21.4,8.4,4.9,3.8
Boris Diaw,SAS,15/16,6.4,3.1,2.3,3.8
Matthew Dellavedova,CLE,15/16,7.5,2.1,4.4,3.8
Ramon Sessions,WAS,15/16,9.9,2.5,2.9,3.8
Mario Chalmers,MEMMIA,15/16,10.3,2.6,3.8,3.8
Manu Ginóbili,SAS,15/16,9.6,2.5,3.1,3.8
Tyson Chandler,PHO,15/16,7.2,8.7,1.0,3.8
Wesley Matthews,DAL,15/16,12.5,3.1,1.9,3.7
Lavoy Allen,IND,15/16,5.4,5.4,1.0,3.7
Timofey Mozgov,CLE,15/16,6.2,4.4,0.4,3.7
Marc Gasol,MEM,15/16,16.6,7.0,3.8,3.7
Deron Williams,DAL,15/16,14.1,2.9,5.8,3.7
Terrence Ross,TOR,15/16,9.9,2.5,0.8,3.6
Patrick Patterson,TOR,15/16,6.9,4.3,1.2,3.6
Jabari Parker,MIL,15/16,14.1,5.2,1.7,3.6
Omri Casspi,SAC,15/16,11.8,5.9,1.4,3.6
Derrick Williams,NYK,15/16,9.3,3.7,0.9,3.6
Jeremy Lin,CHO,15/16,11.7,3.2,3.0,3.5
Cory Joseph,TOR,15/16,8.5,2.6,3.1,3.5
Cole Aldrich,LAC,15/16,5.5,4.8,0.8,3.5
Kosta Koufos,SAC,15/16,6.8,5.4,0.4,3.5
P.J. Tucker,PHO,15/16,8.0,6.2,2.2,3.5
Kyle Anderson,SAS,15/16,4.5,3.1,1.6,3.5
Boban Marjanović,SAS,15/16,5.5,3.6,0.4,3.4
Andre Roberson,OKC,15/16,4.8,3.6,0.7,3.4
Jrue Holiday,NOP,15/16,16.8,3.0,6.0,3.4
Jamal Crawford,LAC,15/16,14.2,1.8,2.3,3.3
Luis Scola,TOR,15/16,8.7,4.7,0.9,3.3
Frank Kaminsky,CHO,15/16,7.5,4.1,1.2,3.3
Langston Galloway,NYK,15/16,7.6,3.5,2.5,3.3
Mike Scott,ATL,15/16,6.2,2.7,1.0,3.2
C.J. Miles,IND,15/16,11.8,2.7,1.0,3.1
Dwight Powell,DAL,15/16,5.8,4.0,0.6,3.1
Myles Turner,IND,15/16,10.3,5.5,0.7,3.1
Jeff Green,LACMEM,15/16,11.7,4.2,1.7,3.1
David Lee,BOSDAL,15/16,7.8,5.5,1.5,3.0
Nerlens Noel,PHI,15/16,11.1,8.1,1.8,3.0
Channing Frye,CLEORL,15/16,6.1,3.3,1.0,3.0
Maurice Harkless,POR,15/16,6.4,3.6,0.9,2.9
Marcus Smart,BOS,15/16,9.1,4.2,3.0,2.9
J.J. Barea,DAL,15/16,10.9,2.1,4.1,2.8
Doug McDermott,CHI,15/16,9.4,2.4,0.7,2.8
Anthony Tolliver,DET,15/16,5.3,3.2,0.7,2.8
Al Jefferson,CHO,15/16,12.0,6.4,1.5,2.8
Festus Ezeli,GSW,15/16,7.0,5.6,0.7,2.7
Nenê,WAS,15/16,9.2,4.5,1.7,2.7
Richard Jefferson,CLE,15/16,5.5,1.7,0.8,2.7
Jeremy Lamb,CHO,15/16,8.8,3.8,1.2,2.7
Bradley Beal,WAS,15/16,17.4,3.4,2.9,2.7
Shabazz Muhammad,MIN,15/16,10.5,3.3,0.6,2.7
Arron Afflalo,NYK,15/16,12.8,3.7,2.0,2.7
Garrett Temple,WAS,15/16,7.3,2.6,1.8,2.7
Jon Leuer,PHO,15/16,8.5,5.6,1.1,2.7
Joe Johnson,BRKMIA,15/16,12.2,3.6,3.9,2.7
Raymond Felton,DAL,15/16,9.5,3.2,3.6,2.7
Wesley Johnson,LAC,15/16,6.9,3.1,0.6,2.6
D.J. Augustin,DENOKC,15/16,7.5,1.5,3.2,2.6
JaMychal Green,MEM,15/16,7.4,4.8,0.9,2.6
Zach LaVine,MIN,15/16,14.0,2.8,3.1,2.6
Matt Barnes,MEM,15/16,10.0,5.5,2.1,2.6
Eric Bledsoe,PHO,15/16,20.4,4.0,6.1,2.5
Devin Harris,DAL,15/16,7.6,2.2,1.8,2.5
Justise Winslow,MIA,15/16,6.4,5.2,1.5,2.5
Josh Richardson,MIA,15/16,6.6,2.1,1.4,2.5
Quincy Acy,SAC,15/16,5.2,3.2,0.5,2.5
Toney Douglas,NOP,15/16,8.7,2.3,2.6,2.5
Tony Allen,MEM,15/16,8.4,4.6,1.1,2.4
Jonas Jerebko,BOS,15/16,4.4,3.7,0.8,2.4
Amar'e Stoudemire,MIA,15/16,5.8,4.3,0.5,2.4
Dewayne Dedmon,ORL,15/16,4.4,3.9,0.2,2.4
Jerryd Bayless,MIL,15/16,10.4,2.7,3.1,2.4
Jeff Withey,UTA,15/16,4.3,3.4,0.4,2.3
John Henson,MIL,15/16,7.0,3.9,0.9,2.3
Kevin Garnett,MIN,04/05,22.2,13.5,5.7,16.1
Dirk Nowitzki,DAL,04/05,26.1,9.7,3.1,15.6
Amar'e Stoudemire,PHO,04/05,26.0,8.9,1.6,14.6
LeBron James,CLE,04/05,27.2,7.4,7.2,14.3
Shawn Marion,PHO,04/05,19.4,11.3,1.9,12.5
Chauncey Billups,DET,04/05,16.4,3.4,5.8,12.1
Tracy McGrady,HOU,04/05,25.7,6.2,5.7,12.0
Stephon Marbury,NYK,04/05,21.7,3.0,8.1,11.7
Gilbert Arenas,WAS,04/05,25.5,4.7,5.1,11.5
Paul Pierce,BOS,04/05,21.6,6.6,4.2,11.2
Tim Duncan,SAS,04/05,20.3,11.1,2.7,11.2
Dwyane Wade,MIA,04/05,24.1,5.2,6.8,11.0
Manu Ginóbili,SAS,04/05,16.0,4.4,3.9,11.0
Shaquille O'Neal,MIA,04/05,22.9,10.4,2.7,11.0
Steve Nash,PHO,04/05,15.5,3.3,11.5,10.9
Ray Allen,SEA,04/05,23.9,4.4,3.7,10.7
Yao Ming,HOU,04/05,18.3,8.4,0.8,10.7
Elton Brand,LAC,04/05,20.0,9.5,2.6,10.6
Tayshaun Prince,DET,04/05,14.7,5.3,3.0,9.4
Vince Carter,NJNTOR,04/05,24.5,5.2,4.2,9.4
Udonis Haslem,MIA,04/05,10.9,9.1,1.4,9.2
Allen Iverson,PHI,04/05,30.7,4.0,7.9,9.0
Damon Jones,MIA,04/05,11.6,2.8,4.3,8.7
Brad Miller,SAC,04/05,15.6,9.3,3.9,8.6
Jason Terry,DAL,04/05,12.4,2.4,5.4,8.5
Drew Gooden,CLE,04/05,14.4,9.2,1.6,8.5
Ben Wallace,DET,04/05,9.7,12.2,1.7,8.5
Mike Bibby,SAC,04/05,19.6,4.2,6.8,8.5
Rashard Lewis,SEA,04/05,20.5,5.5,1.3,8.4
Tyson Chandler,CHI,04/05,8.0,9.7,0.8,8.3
Kobe Bryant,LAL,04/05,27.6,5.9,6.0,8.1
Corey Maggette,LAC,04/05,22.2,6.0,3.4,8.1
Zydrunas Ilgauskas,CLE,04/05,16.9,8.6,1.3,8.1
Tony Parker,SAS,04/05,16.6,3.7,6.1,8.1
Eddie Jones,MIA,04/05,12.7,5.1,2.6,8.0
Shane Battier,MEM,04/05,9.9,5.2,1.6,7.8
Larry Hughes,WAS,04/05,22.0,6.3,4.7,7.7
Joe Johnson,PHO,04/05,17.1,5.1,3.5,7.6
Raef LaFrentz,BOS,04/05,11.0,6.9,1.2,7.5
Richard Hamilton,DET,04/05,18.7,3.9,4.9,7.4
Wally Szczerbiak,MIN,04/05,15.5,3.7,2.4,7.3
Dwight Howard,ORL,04/05,12.0,10.0,0.9,7.3
Peja Stojaković,SAC,04/05,20.1,4.3,2.1,7.3
Jason Kidd,NJN,04/05,14.4,7.4,8.3,7.2
Kirk Hinrich,CHI,04/05,15.7,3.9,6.4,7.2
Rasheed Wallace,DET,04/05,14.5,8.2,1.8,7.1
Mehmet Okur,UTA,04/05,12.9,7.5,2.0,7.0
Andre Miller,DEN,04/05,13.6,4.1,6.9,7.0
Mike Miller,MEM,04/05,13.4,3.9,2.9,7.0
P.J. Brown,NOH,04/05,10.8,9.0,2.2,6.9
Pau Gasol,MEM,04/05,17.8,7.3,2.4,6.8
Bobby Simmons,LAC,04/05,16.4,5.9,2.7,6.8
Chris Bosh,TOR,04/05,16.8,8.9,1.9,6.8
Antonio Daniels,SEA,04/05,11.2,2.3,4.1,6.8
Reggie Miller,IND,04/05,14.8,2.4,2.2,6.6
Grant Hill,ORL,04/05,19.7,4.7,3.3,6.6
Kyle Korver,PHI,04/05,11.5,4.6,2.2,6.6
Andre Iguodala,PHI,04/05,9.0,5.7,3.0,6.6
Josh Howard,DAL,04/05,12.6,6.4,1.4,6.4
Michael Redd,MIL,04/05,23.0,4.2,2.3,6.2
Steve Francis,ORL,04/05,21.3,5.8,7.0,6.2
Brent Barry,SAS,04/05,7.4,2.3,2.2,6.1
Bruce Bowen,SAS,04/05,8.2,3.5,1.5,6.1
Donyell Marshall,TOR,04/05,11.5,6.6,1.2,6.0
Earl Boykins,DEN,04/05,12.4,1.7,4.5,6.0
Quentin Richardson,PHO,04/05,14.9,6.1,2.0,5.8
Marcus Camby,DEN,04/05,10.3,10.0,2.3,5.8
Antonio McDyess,DET,04/05,9.6,6.3,0.9,5.7
Jason Richardson,GSW,04/05,21.7,5.9,3.9,5.7
Damon Stoudamire,POR,04/05,15.8,3.8,5.7,5.7
Andrei Kirilenko,UTA,04/05,15.6,6.2,3.2,5.5
Rafer Alston,TOR,04/05,14.2,3.5,6.4,5.5
Michael Finley,DAL,04/05,15.7,4.1,2.6,5.5
Matt Harpring,UTA,04/05,14.0,6.2,1.8,5.5
Joe Smith,MIL,04/05,11.0,7.3,0.9,5.5
Antawn Jamison,WAS,04/05,19.6,7.6,2.3,5.4
Shareef Abdur-Rahim,POR,04/05,16.8,7.3,2.1,5.4
Gary Payton,BOS,04/05,11.3,3.1,6.1,5.4
Jeff Foster,IND,04/05,7.0,9.0,0.7,5.4
Luke Ridnour,SEA,04/05,10.0,2.5,5.9,5.4
Troy Murphy,GSW,04/05,15.4,10.8,1.4,5.3
Caron Butler,LAL,04/05,15.5,5.8,1.9,5.3
Kenyon Martin,DEN,04/05,15.5,7.3,2.4,5.3
Brendan Haywood,WAS,04/05,9.4,6.8,0.8,5.2
Dan Gadzuric,MIL,04/05,7.3,8.3,0.4,5.2
Fred Hoiberg,MIN,04/05,5.8,2.4,1.1,5.2
Kurt Thomas,NYK,04/05,11.4,10.4,2.0,5.2
David Wesley,HOUNOH,04/05,11.8,2.8,3.3,5.2
Lorenzen Wright,MEM,04/05,9.6,7.7,1.1,5.2
Morris Peterson,TOR,04/05,12.5,4.1,2.1,5.1
Primož Brezec,CHA,04/05,13.0,7.4,1.2,4.9
Carmelo Anthony,DEN,04/05,20.8,5.7,2.6,4.9
Mike Dunleavy,GSW,04/05,13.4,5.5,2.6,4.9
Greg Buckner,DEN,04/05,6.2,3.0,1.9,4.8
Jalen Rose,TOR,04/05,18.5,3.4,2.6,4.8
Fred Jones,IND,04/05,10.6,3.1,2.5,4.8
Bob Sura,HOU,04/05,10.3,5.5,5.2,4.8
Jason Hart,CHA,04/05,9.5,2.7,5.0,4.8
Lamar Odom,LAL,04/05,15.2,10.2,3.7,4.7
Dikembe Mutombo,HOU,04/05,4.0,5.3,0.1,4.7
Joel Przybilla,POR,04/05,6.4,7.7,1.0,4.7
Nazr Mohammed,NYKSAS,04/05,9.5,7.6,0.4,4.6
Josh Childress,ATL,04/05,10.1,6.0,1.9,4.6
Marc Jackson,PHI,04/05,12.0,5.0,1.0,4.6
Robert Horry,SAS,04/05,6.0,3.6,1.1,4.6
Erick Dampier,DAL,04/05,9.2,8.5,0.9,4.5
Chris Andersen,NOH,04/05,7.7,6.1,1.1,4.5
Chucky Atkins,LAL,04/05,13.6,2.4,4.4,4.5
Brevin Knight,CHA,04/05,10.1,2.6,9.0,4.5
Cuttino Mobley,ORLSAC,04/05,17.2,3.5,2.8,4.4
Nenad Krstić,NJN,04/05,10.0,5.3,1.0,4.4
Baron Davis,GSWNOH,04/05,19.2,3.8,7.9,4.4
Kelvin Cato,ORL,04/05,7.0,6.7,0.6,4.3
Eddy Curry,CHI,04/05,16.1,5.4,0.6,4.3
Jason Williams,MEM,04/05,10.1,1.7,5.6,4.3
Kenny Thomas,PHISAC,04/05,12.4,7.3,2.1,4.3
Danny Fortson,SEA,04/05,7.5,5.6,0.1,4.3
Darius Songaila,SAC,04/05,7.5,4.2,1.4,4.3
Desmond Mason,MIL,04/05,17.2,3.9,2.7,4.3
Mike James,HOUMIL,04/05,11.8,2.8,3.6,4.3
Rasho Nesterović,SAS,04/05,5.9,6.6,1.0,4.2
Matt Bonner,TOR,04/05,7.2,3.5,0.6,4.2
Jamal Crawford,NYK,04/05,17.7,2.9,4.3,4.2
Ricky Davis,BOS,04/05,16.0,3.0,3.0,4.2
Jeff McInnis,CLE,04/05,12.8,2.1,5.1,4.1
Carlos Boozer,UTA,04/05,17.8,9.0,2.8,4.1
Chris Duhon,CHI,04/05,5.9,2.6,4.9,4.1
Austin Croshere,IND,04/05,8.9,5.1,1.3,4.1
Emeka Okafor,CHA,04/05,15.1,10.9,0.9,4.0
Anthony Johnson,IND,04/05,8.4,2.8,4.8,4.0
Nick Collison,SEA,04/05,5.6,4.6,0.4,3.9
Jon Barry,ATLHOU,04/05,6.6,2.3,2.4,3.9
Jason Collins,NJN,04/05,6.4,6.1,1.3,3.9
Antonio Davis,CHI,04/05,7.0,5.9,1.1,3.9
Samuel Dalembert,PHI,04/05,8.2,7.5,0.5,3.9
Mike Sweetney,NYK,04/05,8.4,5.4,0.6,3.8
Reggie Evans,SEA,04/05,4.9,9.3,0.7,3.8
Sam Cassell,MIN,04/05,13.5,2.7,5.1,3.8
Jermaine O'Neal,IND,04/05,24.3,8.8,1.9,3.8
Devin Brown,SAS,04/05,7.4,2.6,1.4,3.7
Speedy Claxton,GSWNOH,04/05,11.5,3.0,6.0,3.7
Vladimir Radmanović,SEA,04/05,11.8,4.6,1.4,3.7
Derek Fisher,GSW,04/05,11.9,2.9,4.1,3.7
Jumaine Jones,LAL,04/05,7.6,5.2,0.9,3.7
Tyronn Lue,ATLHOU,04/05,11.2,2.1,4.6,3.7
Othella Harrington,CHI,04/05,8.0,4.2,0.8,3.6
Chris Mihm,LAL,04/05,9.8,6.7,0.7,3.6
Ben Gordon,CHI,04/05,15.1,2.6,2.0,3.5
Keith Van Horn,DALMIL,04/05,11.2,4.7,1.2,3.5
Brian Cardinal,MEM,04/05,9.0,3.9,2.0,3.5
Jerry Stackhouse,DAL,04/05,14.9,3.3,2.3,3.5
Dan Dickau,DALNOH,04/05,12.5,2.5,4.9,3.5
Chris Webber,PHISAC,04/05,19.5,9.1,4.7,3.4
Dale Davis,GSWIND,04/05,4.7,6.1,0.8,3.4
Adonal Foyle,GSW,04/05,4.5,5.5,0.7,3.4
Ruben Patterson,POR,04/05,11.6,3.9,2.0,3.4
Hedo Türkoğlu,ORL,04/05,14.0,3.5,2.3,3.4
Corliss Williamson,PHISAC,04/05,10.3,3.6,1.1,3.3
Nenê,DEN,04/05,9.6,5.9,1.5,3.2
Juwan Howard,HOU,04/05,9.6,5.7,1.5,3.2
Eddie Griffin,MIN,04/05,7.5,6.5,0.8,3.2
Jim Jackson,HOUPHO,04/05,10.5,4.2,2.9,3.2
DerMarr Johnson,DEN,04/05,7.1,2.1,1.1,3.2
Zach Randolph,POR,04/05,18.9,9.6,1.9,3.1
Bonzi Wells,MEM,04/05,10.4,3.3,1.2,3.1
Stephen Jackson,IND,04/05,18.7,4.9,2.3,3.1
Beno Udrih,SAS,04/05,5.9,1.0,1.9,3.1
Alan Henderson,DAL,04/05,3.5,4.5,0.3,3.1
Luol Deng,CHI,04/05,11.7,5.3,2.2,3.0
Anderson Varejão,CLE,04/05,4.9,4.8,0.5,3.0
Zaza Pachulia,MIL,04/05,6.2,5.1,0.8,2.9
Stromile Swift,MEM,04/05,10.1,4.6,0.7,2.9
Mark Blount,BOS,04/05,9.4,4.8,1.6,2.8
Jamaal Tinsley,IND,04/05,15.4,4.0,6.4,2.8
Scott Padgett,HOU,04/05,4.2,2.8,0.8,2.8
Marko Jarić,LAC,04/05,9.9,3.2,6.1,2.8
Tony Allen,BOS,04/05,6.4,2.9,0.8,2.7
Devin Harris,DAL,04/05,5.7,1.3,2.2,2.7
Al Jefferson,BOS,04/05,6.7,4.4,0.3,2.7
Trenton Hassell,MIN,04/05,6.6,2.7,1.6,2.7
Christian Laettner,MIA,04/05,5.3,2.7,0.8,2.7
Casey Jacobsen,NOHPHO,04/05,6.5,2.0,1.3,2.7
Steven Hunter,PHO,04/05,4.6,3.0,0.2,2.6
Jared Jeffries,WAS,04/05,6.8,4.9,2.0,2.6
Malik Rose,NYKSAS,04/05,7.0,4.5,0.8,2.6
Mikki Moore,LAC,04/05,5.4,3.3,0.6,2.6
Bryon Russell,DEN,04/05,4.4,2.5,1.0,2.6
Jerome Williams,NYK,04/05,4.5,3.6,0.5,2.6
Travis Best,NJN,04/05,6.8,1.4,1.9,2.5
Marquis Daniels,DAL,04/05,9.1,3.6,2.1,2.5
Jameer Nelson,ORL,04/05,8.7,2.4,3.0,2.5
James Jones,IND,04/05,4.9,2.3,0.8,2.5
Andrés Nocioni,CHI,04/05,8.4,4.8,1.5,2.5
Gerald Wallace,CHA,04/05,11.1,5.5,2.0,2.4
Richard Jefferson,NJN,04/05,22.2,7.3,4.0,2.4
Željko Rebrača,LAC,04/05,5.8,3.2,0.4,2.4
Josh Smith,ATL,04/05,9.7,6.2,1.7,2.4
Earl Watson,MEM,04/05,7.7,2.0,4.5,2.3
James Posey,MEM,04/05,8.1,4.4,1.8,2.3
Eric Piatkowski,CHI,04/05,4.8,1.2,0.8,2.3
Nikola Jokić,DEN,22/23,24.5,11.8,9.8,14.9
Domantas Sabonis,SAC,22/23,19.1,12.3,7.3,12.6
Jimmy Butler,MIA,22/23,22.9,5.9,5.3,12.3
Joel Embiid,PHI,22/23,33.1,10.2,4.2,12.3
Shai Gilgeous-Alexander,OKC,22/23,31.4,4.8,5.5,11.4
Jayson Tatum,BOS,22/23,30.1,8.8,4.6,10.5
Luka Dončić,DAL,22/23,32.4,8.6,8.0,10.2
Jarrett Allen,CLE,22/23,14.2,9.8,1.7,9.5
Nic Claxton,BRK,22/23,12.6,9.2,1.9,9.2
Damian Lillard,POR,22/23,32.2,4.8,7.3,9.0
Anthony Davis,LAL,22/23,25.9,12.5,2.6,9.0
Donovan Mitchell,CLE,22/23,28.3,4.2,4.4,8.9
Jalen Brunson,NYK,22/23,24.0,3.5,6.2,8.7
Kevon Looney,GSW,22/23,7.0,9.3,2.5,8.7
Giannis Antetokounmpo,MIL,22/23,31.1,11.8,5.7,8.6
DeMar DeRozan,CHI,22/23,24.5,4.6,5.1,8.5
Evan Mobley,CLE,22/23,16.2,9.0,2.8,8.5
James Harden,PHI,22/23,21.0,6.1,10.7,8.4
Nikola Vučević,CHI,22/23,17.6,11.0,3.2,8.3
Lauri Markkanen,UTA,22/23,25.6,8.6,1.9,8.2
Julius Randle,NYK,22/23,25.1,10.0,4.1,8.1
Brook Lopez,MIL,22/23,15.9,6.7,1.3,8.0
Mason Plumlee,CHOLAC,22/23,10.8,8.9,3.1,7.9
Rudy Gobert,MIN,22/23,13.4,11.6,1.2,7.8
Stephen Curry,GSW,22/23,29.4,6.1,6.3,7.8
Pascal Siakam,TOR,22/23,24.2,7.8,5.8,7.8
Kristaps Porziņģis,WAS,22/23,23.2,8.4,2.7,7.7
Tyrese Haliburton,IND,22/23,20.7,3.7,10.4,7.6
Trey Murphy III,NOP,22/23,14.5,3.6,1.4,7.6
Darius Garland,CLE,22/23,21.6,2.7,7.8,7.6
Mikal Bridges,BRKPHO,22/23,20.1,4.4,3.3,7.5
Kyrie Irving,BRKDAL,22/23,27.0,5.1,5.5,7.4
Derrick White,BOS,22/23,12.4,3.6,3.9,7.4
Bam Adebayo,MIA,22/23,20.4,9.2,3.2,7.4
De'Aaron Fox,SAC,22/23,25.0,4.2,6.1,7.4
Clint Capela,ATL,22/23,12.0,11.0,0.9,7.2
Onyeka Okongwu,ATL,22/23,9.9,7.2,1.0,7.1
Walker Kessler,UTA,22/23,9.2,8.4,0.9,7.1
Zach LaVine,CHI,22/23,24.8,4.5,4.2,7.1
Kawhi Leonard,LAC,22/23,23.8,6.5,3.9,7.1
Kevin Durant,BRKPHO,22/23,29.1,6.7,5.0,6.8
Aaron Gordon,DEN,22/23,16.3,6.6,3.0,6.8
Jrue Holiday,MIL,22/23,19.3,5.1,7.4,6.7
Ivica Zubac,LAC,22/23,10.8,9.9,1.0,6.7
Immanuel Quickley,NYK,22/23,14.9,4.2,3.4,6.7
Trae Young,ATL,22/23,26.2,3.0,10.2,6.7
Jaren Jackson Jr.,MEM,22/23,18.6,6.8,1.0,6.6
Mitchell Robinson,NYK,22/23,7.4,9.4,0.9,6.5
Harrison Barnes,SAC,22/23,15.0,4.5,1.6,6.5
Fred VanVleet,TOR,22/23,19.3,4.1,7.2,6.5
Spencer Dinwiddie,BRKDAL,22/23,17.3,3.4,6.5,6.3
Al Horford,BOS,22/23,9.8,6.2,3.0,6.3
Deandre Ayton,PHO,22/23,18.0,10.0,1.7,6.2
Chris Paul,PHO,22/23,13.9,4.3,8.9,6.2
Daniel Gafford,WAS,22/23,9.0,5.6,1.1,6.1
Josh Hart,NYKPOR,22/23,9.8,7.8,3.8,6.0
Devin Booker,PHO,22/23,27.8,4.5,5.5,6.0
Ja Morant,MEM,22/23,26.2,5.9,8.1,6.0
Jakob Poeltl,SASTOR,22/23,12.5,9.1,2.7,6.0
Tobias Harris,PHI,22/23,14.7,5.7,2.5,5.9
Malcolm Brogdon,BOS,22/23,14.9,4.2,3.7,5.8
Jonas Valančiūnas,NOP,22/23,14.1,10.2,1.8,5.8
Desmond Bane,MEM,22/23,21.5,5.0,4.4,5.8
Tyus Jones,MEM,22/23,10.3,2.5,5.2,5.7
Jalen Williams,OKC,22/23,14.1,4.5,3.3,5.6
LeBron James,LAL,22/23,28.9,8.3,6.8,5.6
Mike Conley,MINUTA,22/23,11.9,2.7,6.7,5.5
Austin Reaves,LAL,22/23,13.0,3.0,3.4,5.4
Myles Turner,IND,22/23,18.0,7.5,1.4,5.4
Franz Wagner,ORL,22/23,18.6,4.1,3.5,5.4
Tyrese Maxey,PHI,22/23,20.3,2.9,3.5,5.4
Bobby Portis,MIL,22/23,14.1,9.6,1.5,5.3
Alperen Şengün,HOU,22/23,14.8,9.0,3.9,5.2
Jarred Vanderbilt,LALUTA,22/23,7.9,7.5,2.4,5.2
Jamal Murray,DEN,22/23,20.0,4.0,6.2,5.1
Kyle Anderson,MIN,22/23,9.4,5.3,4.9,5.1
Dwight Powell,DAL,22/23,6.7,4.1,0.9,5.1
D'Angelo Russell,LALMIN,22/23,17.8,3.0,6.2,5.1
Grayson Allen,MIL,22/23,10.4,3.3,2.3,5.1
Jaylen Brown,BOS,22/23,26.6,6.9,3.5,5.0
Scottie Barnes,TOR,22/23,15.3,6.6,4.8,5.0
Chris Boucher,TOR,22/23,9.4,5.5,0.4,5.0
Kevin Huerter,SAC,22/23,15.2,3.3,2.9,4.9
Larry Nance Jr.,NOP,22/23,6.8,5.4,1.8,4.9
KJ Martin,HOU,22/23,12.7,5.5,1.5,4.9
Christian Wood,DAL,22/23,16.6,7.3,1.8,4.8
Quentin Grimes,NYK,22/23,11.3,3.2,2.1,4.8
Draymond Green,GSW,22/23,8.5,7.2,6.8,4.7
Dejounte Murray,ATL,22/23,20.5,5.3,6.1,4.7
OG Anunoby,TOR,22/23,16.8,5.0,2.0,4.7
Isaiah Hartenstein,NYK,22/23,5.0,6.5,1.2,4.6
Paul George,LAC,22/23,23.8,6.1,5.1,4.6
Wendell Carter Jr.,ORL,22/23,15.2,8.7,2.3,4.6
Santi Aldama,MEM,22/23,9.0,4.8,1.3,4.6
Brandon Clarke,MEM,22/23,10.0,5.5,1.3,4.5
Gary Trent Jr.,TOR,22/23,17.4,2.6,1.6,4.5
Kentavious Caldwell-Pope,DEN,22/23,10.8,2.7,2.4,4.5
Jalen Duren,DET,22/23,9.1,8.9,1.1,4.5
Caris LeVert,CLE,22/23,12.1,3.8,3.9,4.4
Grant Williams,BOS,22/23,8.1,4.6,1.7,4.4
Drew Eubanks,POR,22/23,6.6,5.4,1.3,4.4
Jaden McDaniels,MIN,22/23,12.1,3.9,1.9,4.4
Buddy Hield,IND,22/23,16.8,5.0,2.8,4.4
Michael Porter Jr.,DEN,22/23,17.4,5.5,1.0,4.3
Terance Mann,LAC,22/23,8.8,3.4,2.3,4.3
Keegan Murray,SAC,22/23,12.2,4.6,1.2,4.3
Kelly Olynyk,UTA,22/23,12.5,6.2,3.7,4.3
CJ McCollum,NOP,22/23,20.9,4.4,5.7,4.3
Bruce Brown,DEN,22/23,11.5,4.1,3.4,4.3
Monte Morris,WAS,22/23,10.3,3.4,5.3,4.2
De'Anthony Melton,PHI,22/23,10.1,4.1,2.6,4.2
John Collins,ATL,22/23,13.1,6.5,1.2,4.2
