Player,Team,Season,PPG,RPG,APG,WS
Jeremy Lin,HOU,12/13,13.4,3.0,6.1,5.4
Jason Kidd,NYK,12/13,6.0,4.2,3.3,5.4
Gordon Hayward,UTA,12/13,14.1,3.1,3.0,5.4
Ed Davis,MEMTOR,12/13,7.7,5.7,0.8,5.4
Jamal Crawford,LAC,12/13,16.5,1.7,2.5,5.4
Andre Miller,DEN,12/13,9.6,2.9,5.9,5.4
Ray Allen,MIA,12/13,10.9,2.7,1.7,5.4
Shawn Marion,DAL,12/13,12.1,7.8,2.4,5.3
Kyrie Irving,CLE,12/13,22.5,3.7,5.9,5.3
Tristan Thompson,CLE,12/13,11.7,9.4,1.3,5.2
Nick Collison,OKC,12/13,5.1,4.1,1.5,5.2
Mario Chalmers,MIA,12/13,8.6,2.2,3.5,5.2
Tony Allen,MEM,12/13,8.9,4.6,1.2,5.1
Joe Johnson,BRK,12/13,16.2,3.0,3.5,5.1
Isaiah Thomas,SAC,12/13,13.9,2.0,4.0,5.0
Dirk Nowitzki,DAL,12/13,17.3,6.8,2.5,5.0
Andray Blatche,BRK,12/13,10.3,5.1,1.0,4.9
Dorell Wright,PHI,12/13,9.2,3.8,1.9,4.9
JaVale McGee,DEN,12/13,9.1,4.8,0.3,4.9
Jared Dudley,PHO,12/13,10.9,3.1,2.6,4.8
Kemba Walker,CHA,12/13,17.7,3.5,5.7,4.8
Brandon Bass,BOS,12/13,8.7,5.2,1.0,4.7
DeMar DeRozan,TOR,12/13,18.1,3.9,2.5,4.7
Jeff Green,BOS,12/13,12.8,3.9,1.6,4.7
Wesley Matthews,POR,12/13,14.8,2.8,2.5,4.7
Monta Ellis,MIL,12/13,19.2,3.9,6.0,4.6
Metta World Peace,LAL,12/13,12.4,5.0,1.5,4.6
Manu Ginóbili,SAS,12/13,11.8,3.4,4.6,4.5
JJ Redick,MILORL,12/13,14.1,2.2,3.8,4.5
John Wall,WAS,12/13,18.5,4.0,7.6,4.5
Spencer Hawes,PHI,12/13,11.0,7.2,2.2,4.5
Emeka Okafor,WAS,12/13,9.7,8.8,1.2,4.5
Andre Drummond,DET,12/13,7.9,7.6,0.5,4.5
Shane Battier,MIA,12/13,6.6,2.3,1.0,4.4
Boris Diaw,SAS,12/13,5.8,3.4,2.4,4.4
Tyreke Evans,SAC,12/13,15.2,4.4,3.5,4.4
Mike Dunleavy,MIL,12/13,10.5,3.9,1.9,4.4
DeMarcus Cousins,SAC,12/13,17.1,9.9,2.7,4.4
Tyler Hansbrough,IND,12/13,7.0,4.6,0.4,4.4
Derrick Favors,UTA,12/13,9.4,7.1,1.0,4.4
Luis Scola,PHO,12/13,12.8,6.6,2.2,4.4
Luke Ridnour,MIN,12/13,11.5,2.5,3.8,4.3
Reggie Evans,BRK,12/13,4.5,11.1,0.5,4.3
Klay Thompson,GSW,12/13,16.6,3.7,2.2,4.3
Antawn Jamison,LAL,12/13,9.4,4.8,0.7,4.3
Steve Nash,LAL,12/13,12.7,2.8,6.7,4.3
Josh Smith,ATL,12/13,17.5,8.4,4.2,4.2
Raymond Felton,NYK,12/13,13.9,2.9,5.5,4.2
O.J. Mayo,DAL,12/13,15.3,3.5,4.4,4.2
Brandan Wright,DAL,12/13,8.5,4.1,0.6,4.1
Patrick Patterson,HOUSAC,12/13,10.4,4.7,1.1,4.1
Rudy Gay,MEMTOR,12/13,18.2,6.1,2.7,4.0
Nenê,WAS,12/13,12.6,6.7,2.9,4.0
Jason Terry,BOS,12/13,10.1,2.0,2.5,4.0
Greg Smith,HOU,12/13,6.0,4.6,0.4,4.0
Jerryd Bayless,MEM,12/13,8.7,2.2,3.3,4.0
Steve Novak,NYK,12/13,6.6,1.9,0.4,4.0
Jonas Valančiūnas,TOR,12/13,8.9,6.0,0.7,3.9
Corey Brewer,DEN,12/13,12.1,2.9,1.5,3.9
C.J. Watson,BRK,12/13,6.8,1.8,2.0,3.8
Greivis Vásquez,NOH,12/13,13.9,4.3,9.0,3.8
Randy Foye,UTA,12/13,10.8,1.5,2.0,3.7
Eric Bledsoe,LAC,12/13,8.5,3.0,3.1,3.7
Pau Gasol,LAL,12/13,13.7,8.6,4.1,3.7
Jason Thompson,SAC,12/13,10.9,6.7,1.0,3.6
Caron Butler,LAC,12/13,10.4,2.9,1.0,3.6
Tayshaun Prince,DETMEM,12/13,10.4,4.4,2.4,3.6
Carlos Delfino,HOU,12/13,10.6,3.3,2.0,3.5
Dante Cunningham,MIN,12/13,8.7,5.1,0.8,3.5
Elton Brand,DAL,12/13,7.2,6.0,1.0,3.4
Marcin Gortat,PHO,12/13,11.1,8.5,1.2,3.4
Jrue Holiday,PHI,12/13,17.7,4.2,8.0,3.3
Courtney Lee,BOS,12/13,7.8,2.4,1.8,3.3
Taj Gibson,CHI,12/13,8.0,5.3,0.9,3.3
Devin Harris,ATL,12/13,9.9,2.0,3.4,3.3
Gerald Henderson,CHA,12/13,15.5,3.7,2.6,3.3
Anderson Varejão,CLE,12/13,14.1,14.4,3.4,3.3
Pablo Prigioni,NYK,12/13,3.5,1.8,3.0,3.2
Quincy Pondexter,MEM,12/13,6.4,2.2,1.0,3.2
Wayne Ellington,CLEMEM,12/13,7.9,2.1,1.3,3.2
Marcus Thornton,SAC,12/13,12.7,2.5,1.3,3.2
Rajon Rondo,BOS,12/13,13.7,5.6,11.1,3.2
Udonis Haslem,MIA,12/13,3.9,5.4,0.5,3.2
Al-Farouq Aminu,NOH,12/13,7.3,7.7,1.4,3.1
Chris Wilcox,BOS,12/13,4.2,3.0,0.4,3.1
Trevor Ariza,WAS,12/13,9.5,4.8,2.0,3.1
Kirk Hinrich,CHI,12/13,7.6,2.6,5.2,3.1
Gerald Wallace,BRK,12/13,7.7,4.6,2.6,3.1
DeMarre Carroll,UTA,12/13,6.0,2.8,0.9,3.1
Wilson Chandler,DEN,12/13,13.0,5.1,1.3,3.1
Derrick Williams,MIN,12/13,12.0,5.5,0.6,3.0
Ricky Rubio,MIN,12/13,10.7,4.0,7.3,3.0
Bradley Beal,WAS,12/13,13.9,3.8,2.4,3.0
Marco Belinelli,CHI,12/13,9.6,1.9,2.0,3.0
Jodie Meeks,LAL,12/13,7.9,2.2,0.9,3.0
P.J. Tucker,PHO,12/13,6.4,4.4,1.4,2.9
Ramon Sessions,CHA,12/13,14.4,2.8,3.8,2.9
D.J. Augustin,IND,12/13,4.7,1.2,2.2,2.8
Marreese Speights,CLEMEM,12/13,8.3,4.9,0.6,2.8
Harrison Barnes,GSW,12/13,9.2,4.1,1.2,2.8
Zaza Pachulia,ATL,12/13,5.9,6.5,1.5,2.7
Lamar Odom,LAC,12/13,4.0,5.9,1.7,2.7
Amar'e Stoudemire,NYK,12/13,14.2,5.0,0.4,2.7
Jared Sullinger,BOS,12/13,6.0,5.9,0.8,2.7
Kris Humphries,BRK,12/13,5.8,5.6,0.5,2.7
Chris Andersen,MIA,12/13,4.9,4.1,0.4,2.7
Ekpe Udoh,MIL,12/13,4.2,3.3,0.6,2.7
C.J. Miles,CLE,12/13,11.2,2.7,1.0,2.6
Shaun Livingston,CLEWAS,12/13,6.3,2.4,3.3,2.6
Mike Miller,MIA,12/13,4.8,2.7,1.7,2.6
Willie Green,LAC,12/13,6.2,1.3,0.8,2.5
Kendrick Perkins,OKC,12/13,4.2,6.0,1.4,2.5
Matt Bonner,SAS,12/13,4.2,1.9,0.5,2.5
Reggie Jackson,OKC,12/13,5.3,2.4,1.7,2.5
Lavoy Allen,PHI,12/13,5.8,5.0,0.9,2.5
Rodney Stuckey,DET,12/13,11.5,2.8,3.6,2.5
Maurice Harkless,ORL,12/13,8.2,4.4,0.7,2.4
Meyers Leonard,POR,12/13,5.5,3.7,0.5,2.4
Lou Williams,ATL,12/13,14.1,2.1,3.6,2.4
Tobias Harris,MILORL,12/13,11.0,5.2,1.3,2.4
Toney Douglas,HOUSAC,12/13,7.5,1.9,2.1,2.4
Steve Blake,LAL,12/13,7.3,2.9,3.8,2.4
LeBron James,MIA,10/11,26.7,7.5,7.0,15.6
Pau Gasol,LAL,10/11,18.8,10.2,3.3,14.7
Dwight Howard,ORL,10/11,22.9,14.1,1.4,14.4
Chris Paul,NOH,10/11,15.8,4.1,9.8,13.9
Derrick Rose,CHI,10/11,25.0,4.1,7.7,13.1
Dwyane Wade,MIA,10/11,25.5,6.4,4.6,12.8
Kevin Durant,OKC,10/11,27.7,6.8,2.7,12.0
Paul Pierce,BOS,10/11,18.9,5.4,3.2,11.6
Kevin Love,MIN,10/11,20.2,15.2,2.5,11.4
Dirk Nowitzki,DAL,10/11,23.0,7.0,2.6,11.1
LaMarcus Aldridge,POR,10/11,21.8,8.8,2.1,11.1
Zach Randolph,MEM,10/11,20.1,12.2,2.2,10.5
Kobe Bryant,LAL,10/11,25.3,5.1,4.7,10.3
Chris Bosh,MIA,10/11,18.7,8.3,1.9,10.3
Lamar Odom,LAL,10/11,14.4,8.7,3.0,10.1
Al Horford,ATL,10/11,15.3,9.3,3.5,10.1
Ray Allen,BOS,10/11,16.5,3.4,2.7,10.0
Luol Deng,CHI,10/11,17.4,5.8,2.8,9.9
Manu Ginóbili,SAS,10/11,17.4,3.7,4.9,9.9
Blake Griffin,LAC,10/11,22.5,12.1,3.8,9.8
Nenê,DEN,10/11,14.5,7.6,2.0,9.6
Kevin Martin,HOU,10/11,23.4,3.2,2.5,9.5
Elton Brand,PHI,10/11,15.0,8.3,1.5,9.4
Russell Westbrook,OKC,10/11,21.9,4.6,8.2,9.4
Tyson Chandler,DAL,10/11,10.1,9.4,0.4,9.4
