Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP
Brad Miller,HOU,10/11,6.4,3.7,2.4,0.524,3.0,0
Jeff Foster,IND,10/11,3.3,6.2,0.8,0.451,3.0,0
Mario Chalmers,MIA,10/11,6.4,2.1,2.5,0.707,2.9,0
Zydrunas Ilgauskas,MIA,10/11,5.0,4.0,0.4,0.707,2.9,0
Keyon Dooling,MIL,10/11,7.1,1.5,3.0,0.427,2.9,0
Jason Thompson,SAC,10/11,8.8,6.1,1.2,0.293,2.9,0
Sam Young,MEM,10/11,7.3,2.4,0.9,0.561,2.9,0
Samuel Dalembert,SAC,10/11,8.0,8.2,0.8,0.293,2.9,0
Brendan Haywood,DAL,10/11,4.4,5.2,0.3,0.695,2.9,0
Chris Wilcox,DET,10/11,7.4,4.8,0.8,0.366,2.8,0
Nick Young,WAS,10/11,17.4,2.7,1.2,0.28,2.8,0
Shaquille O'Neal,BOS,10/11,9.2,4.8,0.7,0.683,2.7,0
Courtney Lee,HOU,10/11,8.3,2.6,1.2,0.524,2.7,0
Kenyon Martin,DEN,10/11,8.6,6.2,2.3,0.61,2.7,0
Ömer Aşık,CHI,10/11,2.8,3.7,0.4,0.756,2.7,0
Trevor Booker,WAS,10/11,5.3,3.9,0.5,0.28,2.6,0
Andris Biedriņš,GSW,10/11,5.0,7.2,1.0,0.439,2.6,0
Brandon Rush,IND,10/11,9.1,3.2,0.9,0.451,2.6,0
Antawn Jamison,CLE,10/11,18.0,6.7,1.7,0.232,2.6,0
Andrea Bargnani,TOR,10/11,21.4,5.2,1.8,0.268,2.5,0
C.J. Miles,UTA,10/11,12.8,3.3,1.7,0.476,2.5,0
Ryan Gomes,LAC,10/11,7.2,3.3,1.6,0.39,2.5,0
Shawne Williams,NYK,10/11,7.1,3.7,0.7,0.512,2.5,0
Omri Casspi,SAC,10/11,8.6,4.3,1.0,0.293,2.5,0
O.J. Mayo,MEM,10/11,11.3,2.4,2.0,0.561,2.4,0
Patrick Patterson,HOU,10/11,6.3,3.8,0.8,0.524,2.4,0
Daniel Gibson,CLE,10/11,11.6,2.6,3.0,0.232,2.4,0
Paul George,IND,10/11,7.8,3.7,1.1,0.451,2.4,0
Andray Blatche,WAS,10/11,16.8,8.2,2.2,0.28,2.4,0
Spencer Hawes,PHI,10/11,7.2,5.7,1.5,0.5,2.4,0
Kevin Garnett,MIN,05/06,21.8,12.7,4.1,0.402,14.9,0
Gilbert Arenas,WAS,05/06,29.3,3.5,6.0,0.512,13.6,0
Pau Gasol,MEM,05/06,20.4,8.9,4.6,0.598,12.0,0
Richard Jefferson,NJN,05/06,19.5,6.8,3.8,0.598,11.7,0
Paul Pierce,BOS,05/06,26.8,6.7,4.7,0.402,11.5,0
Michael Redd,MIL,05/06,25.4,4.3,2.9,0.488,10.8,0
Chris Paul,NOK,05/06,16.1,5.1,7.8,0.463,10.4,0
Jason Kidd,NJN,05/06,13.3,7.2,8.4,0.598,10.1,0
Ben Wallace,DET,05/06,7.3,11.3,1.9,0.78,10.1,0
Chris Bosh,TOR,05/06,22.5,9.2,2.6,0.329,9.8,0
Jason Terry,DAL,05/06,17.1,2.0,3.8,0.732,9.6,0
Ray Allen,OKC,05/06,25.1,4.3,3.7,0.427,9.5,0
Carmelo Anthony,DEN,05/06,26.5,4.9,2.7,0.537,9.4,0
Mehmet Okur,UTA,05/06,18.0,9.1,2.4,0.5,9.3,0
Vince Carter,NJN,05/06,24.2,5.8,4.3,0.598,9.3,0
Lamar Odom,LAL,05/06,14.8,9.2,5.5,0.549,9.2,0
Brad Miller,SAC,05/06,15.0,7.8,4.7,0.537,9.1,0
Shane Battier,MEM,05/06,10.1,5.3,1.7,0.598,9.1,0
Boris Diaw,PHO,05/06,13.3,6.9,6.2,0.659,8.9,0
Rasheed Wallace,DET,05/06,15.1,6.8,2.3,0.78,8.9,0
Manu Ginóbili,SAS,05/06,15.1,3.5,3.6,0.768,8.8,0
Zydrunas Ilgauskas,CLE,05/06,15.6,7.6,1.2,0.61,8.7,0
Dwight Howard,ORL,05/06,15.8,12.5,1.5,0.439,8.6,0
Yao Ming,HOU,05/06,22.3,10.2,1.5,0.415,8.6,0
Mike Bibby,SAC,05/06,21.1,2.9,5.4,0.537,8.4,0
Rashard Lewis,OKC,05/06,20.1,5.0,2.3,0.427,8.3,0
Antawn Jamison,WAS,05/06,20.5,9.3,1.9,0.512,8.2,0
Andrei Kirilenko,UTA,05/06,15.3,8.0,4.3,0.5,7.9,0
Richard Hamilton,DET,05/06,20.1,3.2,3.4,0.78,7.6,0
Kirk Hinrich,CHI,05/06,15.9,3.6,6.3,0.5,7.6,0
Hedo Türkoğlu,ORL,05/06,14.9,4.3,2.8,0.439,7.6,0
Mike James,TOR,05/06,20.3,3.3,5.8,0.329,7.6,0
Sam Cassell,LAC,05/06,17.2,3.7,6.3,0.573,7.6,0
Andre Iguodala,PHI,05/06,12.3,5.9,3.1,0.463,7.5,0
Mike Miller,MEM,05/06,13.7,5.4,2.7,0.598,7.4,0
David West,NOK,05/06,17.1,7.4,1.2,0.463,7.4,0
Jason Richardson,GSW,05/06,23.2,5.8,3.1,0.415,7.3,0
Eddie Jones,MEM,05/06,11.8,3.7,2.4,0.598,7.2,0
Udonis Haslem,MIA,05/06,9.3,7.8,1.2,0.634,7.0,0
Tayshaun Prince,DET,05/06,14.1,4.2,2.3,0.78,7.0,0
Raja Bell,PHO,05/06,14.7,3.2,2.6,0.659,6.8,0
Josh Howard,DAL,05/06,15.6,6.3,1.9,0.732,6.7,0
Andrés Nocioni,CHI,05/06,13.0,6.1,1.4,0.5,6.7,0
Drew Gooden,CLE,05/06,10.7,8.4,0.7,0.61,6.6,0
Troy Murphy,GSW,05/06,14.0,10.0,1.4,0.415,6.5,0
Luol Deng,CHI,05/06,14.3,6.6,1.9,0.5,6.5,0
Gerald Wallace,CHO,05/06,15.2,7.5,1.7,0.317,6.4,0
Caron Butler,WAS,05/06,17.6,6.2,2.5,0.512,6.3,0
Shareef Abdur-Rahim,SAC,05/06,12.3,5.0,2.1,0.537,6.2,0
Andre Miller,DEN,05/06,13.7,4.3,8.2,0.537,6.2,0
Bruce Bowen,SAS,05/06,7.5,3.9,1.5,0.768,6.2,0
Shaquille O'Neal,MIA,05/06,20.0,9.2,1.9,0.634,6.2,0
Chris Kaman,LAC,05/06,11.9,9.6,1.0,0.573,6.1,0
Joe Johnson,ATL,05/06,20.2,4.1,6.5,0.317,6.0,0
Morris Peterson,TOR,05/06,16.8,4.6,2.3,0.329,5.9,0
Smush Parker,LAL,05/06,11.5,3.3,3.7,0.549,5.8,0
Derek Fisher,GSW,05/06,13.3,2.6,4.3,0.415,5.8,0
Delonte West,BOS,05/06,11.8,4.1,4.6,0.402,5.7,0
Jeff Foster,IND,05/06,5.9,9.1,0.8,0.5,5.7,0
Josh Childress,ATL,05/06,10.0,5.2,1.8,0.317,5.7,0
Andrew Bogut,MIL,05/06,9.4,7.0,2.3,0.488,5.5,0
Kenny Thomas,SAC,05/06,9.1,7.5,2.0,0.537,5.5,0
Kevin Martin,SAC,05/06,10.8,3.6,1.3,0.537,5.5,0
Marcus Camby,DEN,05/06,12.8,11.9,2.1,0.537,5.5,0
Tyson Chandler,CHI,05/06,5.3,9.0,1.0,0.5,5.4,0
Nenad Krstić,NJN,05/06,13.5,6.4,1.1,0.598,5.4,0
Bobby Simmons,MIL,05/06,13.4,4.4,2.3,0.488,5.3,0
Cuttino Mobley,LAC,05/06,14.8,4.3,3.0,0.573,5.3,0
Antonio Daniels,WAS,05/06,9.6,2.2,3.6,0.512,5.3,0
Chris Duhon,CHI,05/06,8.7,3.0,5.0,0.5,5.2,0
Danny Granger,IND,05/06,7.5,4.9,1.2,0.5,5.1,0
Michael Finley,SAS,05/06,10.1,3.2,1.5,0.768,5.0,0
Brevin Knight,CHO,05/06,12.6,3.2,8.8,0.317,4.9,0
Jameer Nelson,ORL,05/06,14.6,2.9,4.9,0.439,4.9,0
Jermaine O'Neal,IND,05/06,20.1,9.3,2.6,0.5,4.9,0
Jason Williams,MIA,05/06,12.3,2.4,4.9,0.634,4.8,0
Erick Dampier,DAL,05/06,5.7,7.8,0.6,0.732,4.8,0
Alonzo Mourning,MIA,05/06,7.8,5.5,0.2,0.634,4.8,0
Matt Harpring,UTA,05/06,12.5,5.2,1.4,0.5,4.7,0
Antonio McDyess,DET,05/06,7.8,5.3,1.1,0.78,4.6,0
Kyle Korver,PHI,05/06,11.5,3.3,2.0,0.463,4.6,0
Primož Brezec,CHO,05/06,12.4,5.6,0.6,0.317,4.6,0
Brian Cook,LAL,05/06,7.9,3.4,0.9,0.549,4.5,0
Nazr Mohammed,SAS,05/06,6.2,5.2,0.5,0.768,4.5,0
Jamal Crawford,NYK,05/06,14.3,3.1,3.8,0.28,4.5,0
Anthony Johnson,IND,05/06,9.2,2.2,4.3,0.5,4.5,0
Chris Webber,PHI,05/06,20.2,9.9,3.4,0.463,4.4,0
Stephen Jackson,IND,05/06,16.4,3.9,2.8,0.5,4.4,0
Ben Gordon,CHI,05/06,16.9,2.7,3.0,0.5,4.4,0
Luke Ridnour,OKC,05/06,11.5,3.0,7.0,0.427,4.4,0
Baron Davis,GSW,05/06,17.9,4.4,8.9,0.415,4.4,0
P.J. Brown,NOK,05/06,9.0,7.3,1.2,0.463,4.4,0
Raef LaFrentz,BOS,05/06,7.8,5.0,1.4,0.402,4.3,0
Brent Barry,SAS,05/06,5.8,2.1,1.7,0.768,4.3,0
Marquis Daniels,DAL,05/06,10.2,3.6,2.8,0.732,4.2,0
Donyell Marshall,CLE,05/06,9.3,6.1,0.7,0.61,4.2,0
Mike Dunleavy,GSW,05/06,11.5,4.9,2.9,0.415,4.2,0
James Posey,MIA,05/06,7.2,4.8,1.3,0.634,4.2,0
Austin Croshere,IND,05/06,8.2,5.3,1.2,0.5,4.1,0
DeSagana Diop,DAL,05/06,2.3,4.6,0.3,0.732,4.1,0
Tracy McGrady,HOU,05/06,24.4,6.5,4.8,0.415,4.1,0
Gary Payton,MIA,05/06,7.7,2.9,3.2,0.634,4.1,0
Matt Bonner,TOR,05/06,7.5,3.6,0.7,0.329,4.1,0
James Jones,PHO,05/06,9.3,3.4,0.8,0.659,4.0,0
Chris Mihm,LAL,05/06,10.2,6.3,1.0,0.549,4.0,0
Zaza Pachulia,ATL,05/06,11.7,7.9,1.7,0.317,3.9,0
Charlie Villanueva,TOR,05/06,13.0,6.4,1.1,0.329,3.9,0
Brendan Haywood,WAS,05/06,7.3,5.9,0.6,0.512,3.9,0
Jarron Collins,UTA,05/06,5.3,4.2,1.2,0.5,3.9,0
Stephon Marbury,NYK,05/06,16.3,2.9,6.4,0.28,3.9,0
Tony Battie,ORL,05/06,7.9,5.6,0.6,0.439,3.8,0
Leandro Barbosa,PHO,05/06,13.1,2.6,2.8,0.659,3.8,0
Greg Buckner,DEN,05/06,6.7,2.9,1.7,0.537,3.8,0
Kenyon Martin,DEN,05/06,12.9,6.3,1.4,0.537,3.8,0
Al Harrington,ATL,05/06,18.6,6.9,3.1,0.317,3.8,0
Lorenzen Wright,MEM,05/06,5.8,5.1,0.6,0.598,3.7,0
Rasho Nesterović,SAS,05/06,4.5,3.9,0.4,0.768,3.7,0
Devin Harris,DAL,05/06,9.9,2.2,3.2,0.732,3.7,0
Juwan Howard,HOU,05/06,11.8,6.7,1.4,0.415,3.7,0
Antoine Walker,MIA,05/06,12.2,5.1,2.0,0.634,3.6,0
Kwame Brown,LAL,05/06,7.4,6.6,1.0,0.549,3.6,0
David Wesley,HOU,05/06,9.9,2.5,2.9,0.415,3.6,0
Robert Horry,SAS,05/06,5.1,3.8,1.3,0.768,3.6,0
Samuel Dalembert,PHI,05/06,7.3,8.2,0.4,0.463,3.6,0
Josh Smith,ATL,05/06,11.3,6.6,2.4,0.317,3.6,0
Channing Frye,NYK,05/06,12.3,5.8,0.8,0.28,3.5,0
Bobby Jackson,MEM,05/06,11.4,3.1,2.7,0.598,3.5,0
Luther Head,HOU,05/06,8.8,3.3,2.7,0.415,3.5,0
Carlos Boozer,UTA,05/06,16.3,8.6,2.7,0.5,3.5,0
Rafer Alston,HOU,05/06,12.1,4.0,6.7,0.415,3.4,0
Bonzi Wells,SAC,05/06,13.6,7.7,2.8,0.537,3.4,0
Damon Jones,CLE,05/06,6.7,1.6,2.1,0.61,3.4,0
Šarūnas Jasikevičius,IND,05/06,7.3,2.0,3.0,0.5,3.3,0
Kurt Thomas,PHO,05/06,8.6,7.8,1.1,0.659,3.3,0
Charlie Bell,MIL,05/06,8.4,2.0,2.2,0.488,3.3,0
Eddy Curry,NYK,05/06,13.6,6.0,0.3,0.28,3.3,0
Maurice Evans,DET,05/06,5.0,2.0,0.8,0.78,3.2,0
Dikembe Mutombo,HOU,05/06,2.6,4.8,0.1,0.415,3.1,0
Ryan Gomes,BOS,05/06,7.6,4.9,1.0,0.402,3.1,0
Jared Jeffries,WAS,05/06,6.4,4.9,1.9,0.512,3.1,0
Speedy Claxton,NOK,05/06,12.3,2.7,4.8,0.463,3.0,0
Corey Maggette,LAC,05/06,17.8,5.3,2.1,0.573,3.0,0
Jumaine Jones,CHO,05/06,10.5,4.9,0.8,0.317,3.0,0
Adrian Griffin,DAL,05/06,4.6,4.4,1.7,0.732,2.9,0
Earl Boykins,DEN,05/06,12.6,1.4,3.8,0.537,2.9,0
Francisco Elson,DEN,05/06,4.9,4.7,0.7,0.537,2.9,0
Andris Biedriņš,GSW,05/06,3.8,4.2,0.4,0.415,2.9,0
Jake Tsakalidis,MEM,05/06,5.0,4.2,0.3,0.598,2.8,0
Adonal Foyle,GSW,05/06,4.5,5.5,0.4,0.415,2.8,0
Clifford Robinson,NJN,05/06,6.9,3.3,1.1,0.598,2.8,0
Steve Blake,POR,05/06,8.2,2.1,4.5,0.256,2.8,0
Marvin Williams,ATL,05/06,8.5,4.8,0.8,0.317,2.8,0
Deron Williams,UTA,05/06,10.8,2.4,4.5,0.5,2.8,0
David Lee,NYK,05/06,5.1,4.5,0.6,0.28,2.7,0
Eduardo Nájera,DEN,05/06,5.4,5.1,0.8,0.537,2.7,0
Tyronn Lue,ATL,05/06,11.0,1.6,3.1,0.317,2.7,0
Fred Jones,IND,05/06,9.6,2.5,2.3,0.5,2.6,0
Devean George,LAL,05/06,6.3,3.9,1.0,0.549,2.6,0
Ike Diogu,GSW,05/06,7.0,3.3,0.4,0.415,2.6,0
Matt Carroll,CHO,05/06,7.6,2.0,0.4,0.317,2.6,0
Raymond Felton,CHO,05/06,11.8,3.3,5.6,0.317,2.6,0
Stromile Swift,HOU,05/06,8.9,4.4,0.4,0.415,2.5,0
Mo Williams,MIL,05/06,12.1,2.5,4.0,0.488,2.5,0
Darius Songaila,CHI,05/06,9.2,4.0,1.4,0.5,2.5,0
T.J. Ford,MIL,05/06,12.2,4.3,6.6,0.488,2.5,0
Etan Thomas,WAS,05/06,4.7,3.9,0.2,0.512,2.5,0
Dan Gadzuric,MIL,05/06,5.2,3.1,0.3,0.488,2.5,0
Steven Hunter,PHI,05/06,6.1,3.9,0.2,0.463,2.5,0
DeShawn Stevenson,ORL,05/06,11.0,2.9,2.0,0.439,2.4,0
Jerry Stackhouse,DAL,05/06,13.0,2.8,2.9,0.732,2.4,0
Chuck Hayes,HOU,05/06,3.7,4.5,0.4,0.415,2.4,0
Al Jefferson,BOS,05/06,7.9,5.1,0.5,0.402,2.3,0
Anderson Varejão,CLE,05/06,4.6,4.9,0.4,0.61,2.3,0
Trenton Hassell,MIN,05/06,9.2,2.8,2.6,0.402,2.3,0
James Singleton,LAC,05/06,3.4,3.3,0.5,0.573,2.3,0
Marko Jarić,MIN,05/06,7.8,3.1,3.9,0.402,2.3,0
Keith Van Horn,DAL,05/06,8.9,3.6,0.7,0.732,2.3,0
Pau Gasol,LAL,08/09,18.9,9.6,3.5,0.793,13.9,0
Ray Allen,BOS,08/09,18.2,3.5,2.8,0.756,11.1,0
Rajon Rondo,BOS,08/09,11.9,5.2,8.2,0.756,9.9,0
Mo Williams,CLE,08/09,17.8,3.4,4.1,0.805,9.8,0
Chris Bosh,TOR,08/09,22.7,10.0,2.5,0.402,9.7,0
Gerald Wallace,CHO,08/09,16.6,7.8,2.7,0.427,9.5,0
Rashard Lewis,ORL,08/09,17.7,5.7,2.6,0.72,9.5,0
LaMarcus Aldridge,POR,08/09,18.1,7.5,1.9,0.659,9.5,0
Nenê,DEN,08/09,14.6,7.8,1.4,0.659,9.3,0
Andre Iguodala,PHI,08/09,18.8,5.7,5.3,0.5,9.2,0
David Lee,NYK,08/09,16.0,11.7,2.1,0.39,9.0,0
Andre Miller,PHI,08/09,16.3,4.5,6.5,0.5,8.8,0
Luis Scola,HOU,08/09,12.7,8.8,1.5,0.646,8.6,0
Troy Murphy,IND,08/09,14.3,11.8,2.4,0.439,8.5,0
Jason Kidd,DAL,08/09,9.0,6.2,8.7,0.61,8.5,0
Deron Williams,UTA,08/09,19.4,2.9,10.7,0.585,8.4,0
Emeka Okafor,CHO,08/09,13.2,10.1,0.6,0.427,8.2,0
Antawn Jamison,WAS,08/09,22.2,8.9,1.9,0.232,8.1,0
Danny Granger,IND,08/09,25.8,5.1,2.7,0.439,8.0,0
Anderson Varejão,CLE,08/09,8.6,7.2,1.0,0.805,8.0,0
Kevin Durant,OKC,08/09,25.3,6.5,2.8,0.28,7.9,0
Shaquille O'Neal,PHO,08/09,17.8,8.4,1.7,0.561,7.8,0
David West,NOH,08/09,21.0,8.5,2.3,0.598,7.8,0
Paul Millsap,UTA,08/09,13.5,8.6,1.8,0.585,7.7,0
Joe Johnson,ATL,08/09,21.4,4.4,5.8,0.573,7.6,0
Vince Carter,NJN,08/09,20.8,5.1,4.7,0.415,7.5,0
Devin Harris,NJN,08/09,21.3,3.3,6.9,0.415,7.5,0
José Calderón,TOR,08/09,12.8,2.9,8.9,0.402,7.5,0
Mehmet Okur,UTA,08/09,17.0,7.7,1.7,0.585,7.4,0
Hedo Türkoğlu,ORL,08/09,16.8,5.3,4.9,0.72,7.3,0
Jason Terry,DAL,08/09,19.6,2.4,3.4,0.61,7.3,0
Steve Nash,PHO,08/09,15.7,3.0,9.7,0.561,7.3,0
Kevin Garnett,BOS,08/09,15.8,8.5,2.5,0.756,7.1,0
Lamar Odom,LAL,08/09,11.3,8.2,2.6,0.793,6.9,0
Ben Gordon,CHI,08/09,20.7,3.5,3.4,0.5,6.9,0
Mike Bibby,ATL,08/09,14.9,3.5,5.0,0.573,6.9,0
Ronnie Brewer,UTA,08/09,13.7,3.7,2.2,0.585,6.8,0
Matt Bonner,SAS,08/09,8.2,4.8,1.0,0.659,6.8,0
Al Horford,ATL,08/09,11.5,9.3,2.4,0.573,6.8,0
Richard Jefferson,MIL,08/09,19.6,4.6,2.4,0.415,6.6,0
Joel Przybilla,POR,08/09,5.5,8.7,0.3,0.659,6.6,0
Joakim Noah,CHI,08/09,6.7,7.6,1.3,0.5,6.4,0
Delonte West,CLE,08/09,11.7,3.2,3.5,0.805,6.4,0
Marc Gasol,MEM,08/09,11.9,7.4,1.7,0.293,6.4,0
Derek Fisher,LAL,08/09,9.9,2.3,3.2,0.793,6.3,0
Tayshaun Prince,DET,08/09,14.2,5.8,3.1,0.476,6.2,0
Erick Dampier,DAL,08/09,5.7,7.1,1.0,0.61,6.1,0
Marvin Williams,ATL,08/09,13.9,6.3,1.3,0.573,6.1,0
Rudy Fernández,POR,08/09,10.4,2.7,2.0,0.659,6.1,0
Trevor Ariza,LAL,08/09,8.9,4.3,1.8,0.793,6.1,0
Amar'e Stoudemire,PHO,08/09,21.4,8.1,2.0,0.561,6.1,0
Jameer Nelson,ORL,08/09,16.7,3.5,5.4,0.72,6.0,0
Carl Landry,HOU,08/09,9.2,5.0,0.6,0.646,5.9,0
Nate Robinson,NYK,08/09,17.2,3.9,4.1,0.39,5.9,0
Brook Lopez,NJN,08/09,13.0,8.1,1.0,0.415,5.8,0
Steve Blake,POR,08/09,11.0,2.5,5.0,0.659,5.8,0
J.R. Smith,DEN,08/09,15.2,3.7,2.8,0.659,5.8,0
Udonis Haslem,MIA,08/09,10.6,8.2,1.1,0.524,5.7,0
Antonio McDyess,DET,08/09,9.6,9.8,1.3,0.476,5.6,0
Ramon Sessions,MIL,08/09,12.4,3.4,5.7,0.415,5.6,0
Kendrick Perkins,BOS,08/09,8.5,8.1,1.3,0.756,5.6,0
Zydrunas Ilgauskas,CLE,08/09,12.9,7.5,1.0,0.805,5.6,0
Andrew Bynum,LAL,08/09,14.3,8.0,1.4,0.793,5.5,0
Metta World Peace,HOU,08/09,17.1,5.2,3.3,0.646,5.5,0
Thaddeus Young,PHI,08/09,15.3,5.0,1.1,0.5,5.5,0
Andris Biedriņš,GSW,08/09,11.9,11.2,2.0,0.354,5.4,0
Chris Andersen,DEN,08/09,6.4,6.2,0.4,0.659,5.4,0
Kevin Love,MIN,08/09,11.1,9.1,1.0,0.293,5.3,0
Travis Outlaw,POR,08/09,12.8,4.1,1.0,0.659,5.3,0
Grant Hill,PHO,08/09,12.0,4.9,2.3,0.561,5.3,0
Shane Battier,HOU,08/09,7.3,4.8,2.3,0.646,5.2,0
Mario Chalmers,MIA,08/09,10.0,2.8,4.9,0.524,5.2,0
Marcus Camby,LAC,08/09,10.3,11.1,2.0,0.232,5.2,0
D.J. Augustin,CHO,08/09,11.8,1.8,3.5,0.427,5.1,0
Rasheed Wallace,DET,08/09,12.0,7.4,1.4,0.476,5.1,0
Leandro Barbosa,PHO,08/09,14.2,2.6,2.3,0.561,5.0,0
Carmelo Anthony,DEN,08/09,22.8,6.8,3.4,0.659,5.0,0
Manu Ginóbili,SAS,08/09,15.5,4.5,3.6,0.659,5.0,0
Nick Collison,OKC,08/09,8.2,6.9,0.9,0.28,5.0,0
Leon Powe,BOS,08/09,7.7,4.9,0.7,0.756,4.9,0
Josh Smith,ATL,08/09,15.6,7.2,2.4,0.573,4.9,0
Al Jefferson,MIN,08/09,23.1,11.0,1.6,0.293,4.9,0
Charlie Villanueva,MIL,08/09,16.2,6.7,1.8,0.415,4.9,0
Derrick Rose,CHI,08/09,16.8,3.9,6.3,0.5,4.9,0
Eddie House,BOS,08/09,8.5,1.9,1.1,0.756,4.9,0
Kevin Martin,SAC,08/09,24.6,3.6,2.7,0.207,4.7,0
Roger Mason,SAS,08/09,11.8,3.1,2.1,0.659,4.7,0
Hakim Warrick,MEM,08/09,11.6,5.0,0.8,0.293,4.7,0
Andrei Kirilenko,UTA,08/09,11.6,4.8,2.6,0.585,4.6,0
Eric Gordon,LAC,08/09,16.1,2.6,2.8,0.232,4.6,0
Tyrus Thomas,CHI,08/09,10.8,6.4,1.0,0.5,4.6,0
Rasual Butler,NOH,08/09,11.2,3.3,0.9,0.598,4.6,0
Greg Oden,POR,08/09,8.9,7.0,0.5,0.659,4.6,0
Mike Conley,MEM,08/09,10.9,3.4,4.3,0.293,4.5,0
Richard Hamilton,DET,08/09,18.3,3.1,4.4,0.476,4.5,0
Caron Butler,WAS,08/09,20.8,6.2,4.3,0.232,4.5,0
Wally Szczerbiak,CLE,08/09,7.0,3.1,1.1,0.805,4.5,0
Kurt Thomas,SAS,08/09,4.3,5.1,0.8,0.659,4.5,0
Michael Finley,SAS,08/09,9.7,3.3,1.4,0.659,4.4,0
Courtney Lee,ORL,08/09,8.4,2.3,1.2,0.72,4.4,0
T.J. Ford,IND,08/09,14.9,3.5,5.3,0.439,4.3,0
Raymond Felton,CHO,08/09,14.2,3.8,6.7,0.427,4.3,0
Mike Miller,MIN,08/09,9.9,6.6,4.5,0.293,4.2,0
Jeff Foster,IND,08/09,6.1,6.9,1.8,0.439,4.2,0
James Posey,NOH,08/09,8.9,4.8,1.1,0.598,4.2,0
Jeff Green,OKC,08/09,16.5,6.7,2.0,0.28,4.2,0
Chris Duhon,NYK,08/09,11.1,3.1,7.2,0.39,4.2,0
Jason Maxiell,DET,08/09,5.8,4.2,0.3,0.476,4.1,0
Jarrett Jack,IND,08/09,13.1,3.4,4.1,0.439,4.1,0
Kelenna Azubuike,GSW,08/09,14.4,5.0,1.6,0.354,4.1,0
Brandon Bass,DAL,08/09,8.5,4.5,0.5,0.61,4.1,0
Samuel Dalembert,PHI,08/09,6.4,8.5,0.2,0.5,4.0,0
Luc Mbah a Moute,MIL,08/09,7.2,5.9,1.1,0.415,4.0,0
Kenyon Martin,DEN,08/09,11.7,6.0,2.0,0.659,4.0,0
Zaza Pachulia,ATL,08/09,6.2,5.7,0.7,0.573,3.9,0
Andrea Bargnani,TOR,08/09,15.4,5.3,1.2,0.402,3.9,0
Marreese Speights,PHI,08/09,7.7,3.7,0.4,0.5,3.8,0
Rodney Stuckey,DET,08/09,13.4,3.5,4.9,0.476,3.8,0
Maurice Evans,ATL,08/09,7.2,3.0,0.7,0.573,3.8,0
Daniel Gibson,CLE,08/09,7.8,2.1,1.8,0.805,3.8,0
Peja Stojaković,NOH,08/09,13.3,4.3,1.2,0.598,3.8,0
Ben Wallace,CLE,08/09,2.9,6.5,0.8,0.805,3.8,0
Sasha Vujačić,LAL,08/09,5.8,1.7,1.4,0.793,3.7,0
Nicolas Batum,POR,08/09,5.4,2.8,0.9,0.659,3.7,0
Kyle Korver,UTA,08/09,9.0,3.3,1.8,0.585,3.7,0
Glen Davis,BOS,08/09,7.0,4.0,0.9,0.756,3.7,0
Keyon Dooling,NJN,08/09,9.7,2.0,3.5,0.415,3.7,0
Linas Kleiza,DEN,08/09,9.9,4.0,0.8,0.659,3.6,0
Aaron Brooks,HOU,08/09,11.2,2.0,3.0,0.646,3.6,0
Ronny Turiaf,GSW,08/09,5.9,4.6,2.1,0.354,3.6,0
Anthony Parker,TOR,08/09,10.7,4.0,3.4,0.402,3.4,0
Luke Ridnour,MIL,08/09,9.6,3.0,5.1,0.415,3.4,0
Bobby Simmons,NJN,08/09,7.8,3.9,1.3,0.415,3.4,0
Tyson Chandler,NOH,08/09,8.8,8.7,0.5,0.598,3.4,0
Lou Williams,PHI,08/09,12.8,2.0,3.0,0.5,3.4,0
Michael Beasley,MIA,08/09,13.9,5.4,1.0,0.524,3.4,0
O.J. Mayo,MEM,08/09,18.5,3.8,3.2,0.293,3.4,0
Marcin Gortat,ORL,08/09,3.8,4.5,0.2,0.72,3.3,0
Corey Maggette,GSW,08/09,18.6,5.5,1.8,0.354,3.3,0
Rudy Gay,MEM,08/09,18.9,5.5,1.7,0.293,3.3,0
C.J. Watson,GSW,08/09,9.5,2.5,2.7,0.354,3.3,0
Michael Redd,MIL,08/09,21.2,3.2,2.7,0.415,3.2,0
Josh Howard,DAL,08/09,18.0,5.1,1.6,0.61,3.2,0
Craig Smith,MIN,08/09,10.1,3.8,1.1,0.293,3.1,0
Ronald Murray,ATL,08/09,12.2,2.1,2.0,0.573,3.1,0
Randy Foye,MIN,08/09,16.3,3.1,4.3,0.293,3.1,0
Wilson Chandler,NYK,08/09,14.4,5.4,2.1,0.39,3.1,0
Anthony Morrow,GSW,08/09,10.1,3.0,1.2,0.354,3.0,0
Mickaël Piétrus,ORL,08/09,9.4,3.3,1.2,0.72,3.0,0
James Singleton,DAL,08/09,5.1,4.0,0.3,0.61,3.0,0
Matt Barnes,PHO,08/09,10.2,5.5,2.8,0.561,3.0,0
Luol Deng,CHI,08/09,14.1,6.0,1.9,0.5,3.0,0
C.J. Miles,UTA,08/09,9.1,2.3,1.5,0.585,2.9,0
Tony Battie,ORL,08/09,4.8,3.6,0.4,0.72,2.8,0
Anthony Johnson,ORL,08/09,5.3,1.8,2.5,0.72,2.8,0
Jason Thompson,SAC,08/09,11.1,7.4,1.1,0.207,2.7,0
Amir Johnson,DET,08/09,3.5,3.7,0.3,0.476,2.7,0
