Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,ORtg,DRtg,PER,BPM,USG%,VORP
Matt Barnes,LAC,12/13,10.3,4.6,1.5,0.683,6.3,0,113,103,15.5,1.8,18.1,2.0
Kawhi Leonard,SAS,12/13,11.9,6.0,1.6,0.707,6.2,0,114,99,16.4,3.1,16.4,2.3
Carl Landry,GSW,12/13,10.8,6.0,0.8,0.573,6.2,0,116,106,17.5,-0.2,20.0,0.8
DeAndre Jordan,LAC,12/13,8.8,7.2,0.3,0.683,6.2,0,113,101,17.2,-0.2,15.9,0.9
Roy Hibbert,IND,12/13,11.9,8.3,1.4,0.605,6.1,0,101,97,17.3,-0.3,22.5,0.9
Anthony Davis,NOP,12/13,13.5,8.2,1.0,0.329,6.1,0,113,104,21.7,2.5,21.8,2.1
Jeff Teague,ATL,12/13,14.6,2.2,7.2,0.537,6.1,0,106,106,16.8,0.3,23.0,1.5
Larry Sanders,MIL,12/13,9.8,9.5,1.2,0.463,6.0,0,109,99,18.7,1.0,16.9,1.5
Andrei Kirilenko,MIN,12/13,12.4,5.7,2.8,0.378,6.0,0,113,104,17.6,3.5,17.4,2.9
Vince Carter,DAL,12/13,13.4,4.1,2.4,0.5,6.0,0,111,106,17.8,3.1,23.1,2.6
Greg Monroe,DET,12/13,16.0,9.6,3.5,0.354,5.9,0,104,105,19.5,1.8,24.8,2.6
Nate Robinson,CHI,12/13,13.1,2.2,4.4,0.549,5.9,0,108,105,17.4,2.8,25.1,2.5
Danny Green,SAS,12/13,10.5,3.0,1.8,0.707,5.9,0,110,102,14.1,2.8,16.6,2.7
Damian Lillard,POR,12/13,19.0,3.1,6.5,0.402,5.8,0,108,112,16.4,0.3,24.2,1.8
Brandon Jennings,MIL,12/13,17.5,3.1,6.5,0.463,5.8,0,106,108,16.1,1.1,23.7,2.2
Nicolas Batum,POR,12/13,14.3,5.6,4.9,0.402,5.8,0,109,109,15.7,2.8,18.2,3.4
Goran Dragić,PHO,12/13,14.7,3.1,7.4,0.305,5.7,0,109,109,17.5,1.4,21.7,2.2
Carlos Boozer,CHI,12/13,16.2,9.8,2.3,0.549,5.7,0,101,100,17.1,-0.1,25.8,1.2
Darren Collison,DAL,12/13,12.0,2.7,5.1,0.5,5.6,0,111,109,16.3,0.1,19.6,1.3
Andre Iguodala,DEN,12/13,13.0,5.3,5.4,0.695,5.6,0,105,105,15.2,2.6,18.8,3.3
Jarrett Jack,GSW,12/13,12.9,3.1,5.6,0.573,5.6,0,110,108,15.9,0.5,21.0,1.4
Kevin Garnett,BOS,12/13,14.8,7.8,2.3,0.506,5.6,0,104,99,19.2,2.6,24.5,2.3
Kyle Lowry,TOR,12/13,11.6,4.7,6.4,0.415,5.6,0,110,106,17.5,2.9,20.3,2.5
Robin Lopez,NOP,12/13,11.3,5.6,0.8,0.329,5.6,0,114,110,18.9,0.6,20.0,1.4
Lance Stephenson,IND,12/13,8.8,3.9,2.9,0.605,5.5,0,106,101,11.8,0.0,15.2,1.2
Jeremy Lin,HOU,12/13,13.4,3.0,6.1,0.549,5.4,0,106,107,14.9,0.3,20.8,1.5
Jason Kidd,NYK,12/13,6.0,4.2,3.3,0.659,5.4,0,114,103,13.5,3.3,11.6,2.7
Gordon Hayward,UTA,12/13,14.1,3.1,3.0,0.524,5.4,0,113,110,16.8,2.0,22.1,2.1
Jamal Crawford,LAC,12/13,16.5,1.7,2.5,0.683,5.4,0,109,108,16.8,1.0,26.0,1.7
Andre Miller,DEN,12/13,9.6,2.9,5.9,0.695,5.4,0,112,109,15.7,0.9,17.9,1.6
Ray Allen,MIA,12/13,10.9,2.7,1.7,0.805,5.4,0,112,107,14.7,0.3,19.3,1.2
Shawn Marion,DAL,12/13,12.1,7.8,2.4,0.5,5.3,0,109,104,18.0,2.2,19.0,2.1
