Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,Standings
Sasha Pavlović,CLE,06/07,9.0,2.4,1.6,0.61,3.1,0,7
Jamal Crawford,NYK,06/07,17.6,3.2,4.4,0.402,3.1,0,17
Ronny Turiaf,LAL,06/07,5.3,3.6,0.9,0.512,3.1,0,12
Francisco Elson,SAS,06/07,5.0,4.8,0.8,0.707,3.1,0,3
DeShawn Stevenson,WAS,06/07,11.2,2.6,2.7,0.5,3.1,0,13
Jason Richardson,GSW,06/07,16.0,5.1,3.4,0.512,3.0,0,12
Jorge Garbajosa,TOR,06/07,8.5,4.9,1.9,0.573,3.0,0,9
Joey Graham,TOR,06/07,6.4,3.1,0.6,0.573,3.0,0,9
Robert Horry,SAS,06/07,3.9,3.4,1.1,0.707,2.9,0,3
Steve Francis,NYK,06/07,11.3,3.6,3.9,0.402,2.9,0,17
Derek Anderson,CHO,06/07,8.0,2.3,2.7,0.402,2.9,0,17
Kurt Thomas,PHO,06/07,4.6,5.7,0.4,0.744,2.9,0,2
Morris Peterson,TOR,06/07,8.9,3.3,0.7,0.573,2.9,0,9
Carlos Delfino,DET,06/07,5.2,3.2,1.1,0.646,2.9,0,4
Chris Kaman,LAC,06/07,10.1,7.8,1.1,0.488,2.9,0,14
Steven Hunter,PHI,06/07,6.4,4.8,0.4,0.427,2.8,0,16
Damien Wilkins,OKC,06/07,8.8,2.8,1.9,0.378,2.8,0,19
Mike James,MIN,06/07,10.1,2.0,3.6,0.39,2.8,0,18
Shareef Abdur-Rahim,SAC,06/07,9.9,5.0,1.4,0.402,2.8,0,17
Linas Kleiza,DEN,06/07,7.6,3.4,0.6,0.549,2.8,0,10
Jamaal Tinsley,IND,06/07,12.8,3.3,6.9,0.427,2.8,0,16
Eric Snow,CLE,06/07,4.2,2.3,4.0,0.61,2.8,0,7
Mark Blount,MIN,06/07,12.3,6.2,0.8,0.39,2.8,0,18
Sam Cassell,LAC,06/07,12.3,2.9,4.7,0.488,2.8,0,14
Renaldo Balkman,NYK,06/07,4.9,4.3,0.6,0.402,2.8,0,17
Etan Thomas,WAS,06/07,6.1,5.8,0.4,0.5,2.7,0,13
Brad Miller,SAC,06/07,9.0,6.4,3.6,0.402,2.7,0,17
Tony Battie,ORL,06/07,6.1,5.2,0.5,0.488,2.7,0,14
Rasual Butler,NOK,06/07,10.1,3.2,0.8,0.476,2.6,0,15
Maurice Evans,LAL,06/07,8.4,2.9,1.0,0.512,2.6,0,12
Trenton Hassell,MIN,06/07,6.7,3.2,2.7,0.39,2.6,0,18
Carlos Arroyo,ORL,06/07,7.7,1.9,2.8,0.488,2.5,0,14
Tyronn Lue,ATL,06/07,11.4,1.9,3.6,0.366,2.5,0,20
Bobby Jackson,NOK,06/07,10.6,3.2,2.5,0.476,2.5,0,15
Rajon Rondo,BOS,06/07,6.4,3.7,3.8,0.293,2.4,0,22
Walter Herrmann,CHO,06/07,9.2,2.9,0.5,0.402,2.4,0,17
Shaun Livingston,LAC,06/07,9.3,3.4,5.1,0.488,2.4,0,14
Damon Jones,CLE,06/07,6.6,1.1,1.6,0.61,2.4,0,7
Francisco García,SAC,06/07,6.0,2.6,1.1,0.402,2.4,0,17
Kyle Lowry,TOR,13/14,17.9,4.7,7.4,0.585,11.7,0,9
DeAndre Jordan,LAC,13/14,10.4,13.6,0.9,0.695,11.1,0,3
Anthony Davis,NOP,13/14,20.8,10.0,1.6,0.415,10.4,0,16
Goran Dragić,PHO,13/14,20.3,3.2,5.9,0.585,10.3,0,9
Andre Drummond,DET,13/14,13.5,13.2,0.4,0.354,9.9,0,18
Serge Ibaka,OKC,13/14,15.1,8.8,1.0,0.72,9.6,0,2
Damian Lillard,POR,13/14,20.7,3.5,5.6,0.659,9.6,0,5
Robin Lopez,POR,13/14,11.1,8.5,0.9,0.659,9.5,0,5
DeMar DeRozan,TOR,13/14,22.7,4.3,4.0,0.585,8.8,0,9
Wesley Matthews,POR,13/14,16.4,3.5,2.4,0.659,8.2,0,5
David West,IND,13/14,14.0,6.8,2.8,0.683,8.1,0,4
Marcin Gortat,WAS,13/14,13.2,9.5,1.7,0.537,8.1,0,10
Dwight Howard,HOU,13/14,18.3,12.2,1.8,0.659,8.0,0,5
Chris Bosh,MIA,13/14,16.2,6.6,1.1,0.659,8.0,0,5
Trevor Ariza,WAS,13/14,14.4,6.2,2.5,0.537,8.0,0,10
DeMarcus Cousins,SAC,13/14,22.7,11.7,2.9,0.341,7.9,0,19
John Wall,WAS,13/14,19.3,4.1,8.8,0.537,7.9,0,10
Nicolas Batum,POR,13/14,13.0,7.5,5.1,0.659,7.9,0,5
George Hill,IND,13/14,10.3,3.7,3.5,0.683,7.8,0,4
Isaiah Thomas,SAC,13/14,20.3,2.9,6.3,0.341,7.7,0,19
Kawhi Leonard,SAS,13/14,12.8,6.2,2.0,0.756,7.7,0,1
David Lee,GSW,13/14,18.2,9.3,2.1,0.622,7.6,0,6
Chandler Parsons,HOU,13/14,16.6,5.5,4.0,0.659,7.6,0,5
Lance Stephenson,IND,13/14,13.8,7.2,4.6,0.683,7.4,0,4
Terrence Jones,HOU,13/14,12.1,6.9,1.1,0.659,7.3,0,5
Jimmy Butler,CHI,13/14,13.1,4.9,2.6,0.585,7.1,0,9
Klay Thompson,GSW,13/14,18.4,3.1,2.2,0.622,6.7,0,6
Jonas Valančiūnas,TOR,13/14,11.3,8.8,0.7,0.585,6.7,0,9
Paul Millsap,ATL,13/14,17.9,8.5,3.1,0.463,6.7,0,13
Kyrie Irving,CLE,13/14,20.8,3.6,6.1,0.402,6.7,0,17
Kenneth Faried,DEN,13/14,13.7,8.6,1.2,0.439,6.5,0,15
Mike Dunleavy,CHI,13/14,11.3,4.2,2.3,0.585,6.5,0,9
Andrew Bogut,GSW,13/14,7.3,10.0,1.7,0.622,6.5,0,6
Josh McRoberts,CHO,13/14,8.5,4.8,4.3,0.524,6.5,0,11
Markieff Morris,PHO,13/14,13.8,6.0,1.8,0.585,6.4,0,9
Zach Randolph,MEM,13/14,17.4,10.1,2.5,0.61,6.4,0,7
Ty Lawson,DEN,13/14,17.6,3.5,8.8,0.439,6.3,0,15
José Calderón,DAL,13/14,11.4,2.4,4.7,0.598,6.3,0,8
Amir Johnson,TOR,13/14,10.4,6.6,1.5,0.585,6.3,0,9
Gerald Green,PHO,13/14,15.8,3.4,1.5,0.585,6.1,0,9
P.J. Tucker,PHO,13/14,9.4,6.5,1.7,0.585,6.1,0,9
Chris Andersen,MIA,13/14,6.6,5.3,0.3,0.659,6.0,0,5
Kyle Korver,ATL,13/14,12.0,4.0,2.9,0.463,5.9,0,13
Greg Monroe,DET,13/14,15.2,9.3,2.1,0.354,5.9,0,18
Marco Belinelli,SAS,13/14,11.4,2.8,2.2,0.756,5.9,0,1
Ricky Rubio,MIN,13/14,9.5,4.2,8.6,0.488,5.9,0,12
Nikola Peković,MIN,13/14,17.5,8.7,0.9,0.488,5.9,0,12
Darren Collison,LAC,13/14,11.4,2.4,3.7,0.695,5.9,0,3
DeMarre Carroll,ATL,13/14,11.1,5.5,1.8,0.463,5.8,0,13
Andre Iguodala,GSW,13/14,9.3,4.7,4.2,0.622,5.8,0,6
Tristan Thompson,CLE,13/14,11.7,9.2,0.9,0.402,5.7,0,17
Taj Gibson,CHI,13/14,13.0,6.8,1.1,0.585,5.7,0,9
Manu Ginóbili,SAS,13/14,12.3,3.0,4.3,0.756,5.7,0,1
Marc Gasol,MEM,13/14,14.6,7.2,3.6,0.61,5.6,0,7
Patty Mills,SAS,13/14,10.2,2.1,1.8,0.756,5.6,0,1
Dwyane Wade,MIA,13/14,19.0,4.5,4.7,0.659,5.5,0,5
Roy Hibbert,IND,13/14,10.8,6.6,1.1,0.683,5.4,0,4
Anderson Varejão,CLE,13/14,8.4,9.7,2.2,0.402,5.4,0,17
Deron Williams,BRK,13/14,14.3,2.6,6.1,0.537,5.4,0,10
Jamal Crawford,LAC,13/14,18.6,2.3,3.2,0.695,5.3,0,3
Kevin Martin,MIN,13/14,19.1,3.0,1.8,0.488,5.3,0,12
Arron Afflalo,ORL,13/14,18.2,3.6,3.4,0.28,5.3,0,22
Channing Frye,PHO,13/14,11.1,5.1,1.2,0.585,5.3,0,9
Russell Westbrook,OKC,13/14,21.8,5.7,6.9,0.72,5.2,0,2
Paul Pierce,BRK,13/14,13.5,4.6,2.4,0.537,5.2,0,10
Jeff Teague,ATL,13/14,16.5,2.6,6.7,0.463,5.2,0,13
Corey Brewer,MIN,13/14,12.3,2.6,1.7,0.488,5.2,0,12
Derrick Favors,UTA,13/14,13.3,8.7,1.2,0.305,5.1,0,21
Brandan Wright,DAL,13/14,9.1,4.2,0.5,0.598,5.1,0,8
Kemba Walker,CHO,13/14,17.7,4.2,6.1,0.524,5.1,0,11
Brandon Bass,BOS,13/14,11.1,5.7,1.1,0.305,5.1,0,21
Martell Webster,WAS,13/14,9.7,2.8,1.2,0.537,5.0,0,10
Boris Diaw,SAS,13/14,9.1,4.1,2.8,0.756,4.9,0,1
Samuel Dalembert,DAL,13/14,6.6,6.8,0.5,0.598,4.9,0,8
Tyson Chandler,NYK,13/14,8.7,9.6,1.1,0.451,4.9,0,14
Reggie Jackson,OKC,13/14,13.1,3.9,4.1,0.72,4.9,0,2
Monta Ellis,DAL,13/14,19.0,3.6,5.7,0.598,4.9,0,8
Joe Johnson,BRK,13/14,15.8,3.4,2.7,0.537,4.9,0,10
Mario Chalmers,MIA,13/14,9.8,2.9,4.9,0.659,4.8,0,5
Mason Plumlee,BRK,13/14,7.4,4.4,0.9,0.537,4.7,0,10
Randy Foye,DEN,13/14,13.2,2.9,3.5,0.439,4.6,0,15
Timofey Mozgov,DEN,13/14,9.4,6.4,0.8,0.439,4.5,0,15
Jodie Meeks,LAL,13/14,15.7,2.5,1.8,0.329,4.5,0,20
Draymond Green,GSW,13/14,6.2,5.0,1.9,0.622,4.5,0,6
Shaun Livingston,BRK,13/14,8.3,3.2,3.2,0.537,4.4,0,10
Jordan Hill,LAL,13/14,9.7,7.4,0.8,0.329,4.4,0,20
Jeremy Lin,HOU,13/14,12.5,2.6,4.1,0.659,4.4,0,5
Kyle Singler,DET,13/14,9.6,3.7,0.9,0.354,4.4,0,18
Nikola Vučević,ORL,13/14,14.2,11.0,1.8,0.28,4.4,0,22
Vince Carter,DAL,13/14,11.9,3.5,2.6,0.598,4.3,0,8
Tiago Splitter,SAS,13/14,8.2,6.2,1.5,0.756,4.3,0,1
Shawn Marion,DAL,13/14,10.4,6.5,1.6,0.598,4.3,0,8
Trevor Booker,WAS,13/14,6.8,5.3,0.9,0.537,4.3,0,10
Patrick Beverley,HOU,13/14,10.2,3.5,2.7,0.659,4.2,0,5
Terrence Ross,TOR,13/14,10.9,3.1,1.0,0.585,4.2,0,9
Danny Green,SAS,13/14,9.1,3.4,1.5,0.756,4.2,0,1
Marcus Morris,PHO,13/14,9.7,3.9,1.1,0.585,4.2,0,9
Tobias Harris,ORL,13/14,14.6,7.0,1.3,0.28,4.1,0,22
Eric Bledsoe,PHO,13/14,17.7,4.7,5.5,0.585,4.1,0,9
Kris Humphries,BOS,13/14,8.4,5.9,1.0,0.305,4.1,0,21
Ray Allen,MIA,13/14,9.6,2.8,2.0,0.659,4.1,0,5
Bradley Beal,WAS,13/14,17.1,3.7,3.3,0.537,4.0,0,10
Miles Plumlee,PHO,13/14,8.1,7.8,0.5,0.585,4.0,0,9
Mike Miller,MEM,13/14,7.1,2.5,1.6,0.61,3.9,0,7
Jared Sullinger,BOS,13/14,13.3,8.1,1.6,0.305,3.9,0,21
Brandon Jennings,DET,13/14,15.5,3.0,7.6,0.354,3.9,0,18
Amar'e Stoudemire,NYK,13/14,11.9,4.9,0.5,0.451,3.8,0,14
Kirk Hinrich,CHI,13/14,9.1,2.6,3.9,0.585,3.8,0,9
J.R. Smith,NYK,13/14,14.5,4.0,3.0,0.451,3.7,0,14
Andray Blatche,BRK,13/14,11.2,5.3,1.5,0.537,3.7,0,10
Gordon Hayward,UTA,13/14,16.2,5.1,5.2,0.305,3.6,0,21
Gerald Henderson,CHO,13/14,14.0,4.0,2.6,0.524,3.6,0,11
Nick Collison,OKC,13/14,4.2,3.6,1.3,0.72,3.6,0,2
Elton Brand,ATL,13/14,5.7,4.9,1.0,0.463,3.6,0,13
Thaddeus Young,PHI,13/14,17.9,6.0,2.3,0.232,3.5,0,23
Kosta Koufos,MEM,13/14,6.4,5.2,0.5,0.61,3.5,0,7
Matt Barnes,LAC,13/14,9.9,4.6,2.0,0.695,3.5,0,3
Carlos Boozer,CHI,13/14,13.7,8.3,1.6,0.585,3.4,0,9
Pablo Prigioni,NYK,13/14,3.8,2.0,3.5,0.451,3.4,0,14
DeJuan Blair,DAL,13/14,6.4,4.7,0.9,0.598,3.4,0,8
Ian Mahinmi,IND,13/14,3.5,3.3,0.3,0.683,3.3,0,4
J.J. Hickson,DEN,13/14,11.8,9.2,1.4,0.439,3.3,0,15
Jeff Green,BOS,13/14,16.9,4.6,1.7,0.305,3.3,0,21
Jeremy Lamb,OKC,13/14,8.5,2.4,1.5,0.72,3.3,0,2
John Henson,MIL,13/14,11.1,7.1,1.6,0.183,3.3,0,24
C.J. Watson,IND,13/14,6.6,1.6,1.7,0.683,3.2,0,4
Bismack Biyombo,CHO,13/14,2.9,4.8,0.1,0.524,3.2,0,11
Harrison Barnes,GSW,13/14,9.5,4.0,1.5,0.622,3.2,0,6
Nenê,WAS,13/14,14.2,5.5,2.9,0.537,3.2,0,10
Alec Burks,UTA,13/14,14.0,3.3,2.7,0.305,3.2,0,21
Anthony Tolliver,CHO,13/14,6.1,2.6,0.7,0.524,3.2,0,11
Tim Hardaway Jr.,NYK,13/14,10.2,1.5,0.8,0.451,3.1,0,14
Michael Kidd-Gilchrist,CHO,13/14,7.2,5.2,0.8,0.524,3.1,0,11
Tyreke Evans,NOP,13/14,14.5,4.7,5.0,0.415,3.1,0,16
Derek Fisher,OKC,13/14,5.2,1.5,1.4,0.72,3.1,0,2
Al-Farouq Aminu,NOP,13/14,7.2,6.2,1.4,0.415,3.1,0,16
Wilson Chandler,DEN,13/14,13.6,4.7,1.8,0.439,3.1,0,15
Tyler Hansbrough,TOR,13/14,4.9,4.5,0.3,0.585,3.0,0,9
Thabo Sefolosha,OKC,13/14,6.3,3.6,1.5,0.72,3.0,0,2
JJ Redick,LAC,13/14,15.2,2.1,2.2,0.695,3.0,0,3
James Johnson,MEM,13/14,7.4,3.2,2.1,0.61,3.0,0,7
Pau Gasol,LAL,13/14,17.4,9.7,3.4,0.329,3.0,0,20
Marvin Williams,UTA,13/14,9.1,5.1,1.2,0.305,2.9,0,21
Kelly Olynyk,BOS,13/14,8.7,5.2,1.6,0.305,2.9,0,21
Dante Cunningham,MIN,13/14,6.3,4.1,1.0,0.488,2.9,0,12
Cory Joseph,SAS,13/14,5.0,1.6,1.7,0.756,2.9,0,1
Steven Adams,OKC,13/14,3.3,4.1,0.5,0.72,2.9,0,2
Jeremy Evans,UTA,13/14,6.1,4.7,0.7,0.305,2.8,0,21
Al Horford,ATL,13/14,18.6,8.4,2.6,0.463,2.8,0,13
Jameer Nelson,ORL,13/14,12.1,3.4,7.0,0.28,2.8,0,22
Brandon Knight,MIL,13/14,17.9,3.5,4.9,0.183,2.8,0,24
Maurice Harkless,ORL,13/14,7.4,3.3,1.0,0.28,2.8,0,22
Mirza Teletović,BRK,13/14,8.6,3.7,0.8,0.537,2.7,0,10
Khris Middleton,MIL,13/14,12.1,3.8,2.1,0.183,2.7,0,24
Jermaine O'Neal,GSW,13/14,7.9,5.5,0.6,0.622,2.7,0,6
Richard Jefferson,UTA,13/14,10.1,2.7,1.6,0.305,2.7,0,21
Tony Allen,MEM,13/14,9.0,3.8,1.7,0.61,2.7,0,7
Jason Thompson,SAC,13/14,7.1,6.4,0.6,0.341,2.7,0,19
Cody Zeller,CHO,13/14,6.0,4.3,1.1,0.524,2.6,0,11
Lou Williams,ATL,13/14,10.4,2.1,3.5,0.463,2.6,0,13
Tyler Zeller,CLE,13/14,5.7,4.0,0.5,0.402,2.6,0,17
Mike Scott,ATL,13/14,9.6,3.6,0.9,0.463,2.6,0,13
Ed Davis,MEM,13/14,5.7,4.1,0.4,0.61,2.6,0,7
Nick Young,LAL,13/14,17.9,2.6,1.5,0.329,2.5,0,20
Eric Gordon,NOP,13/14,15.4,2.6,3.2,0.415,2.5,0,16
C.J. Miles,CLE,13/14,9.9,2.0,1.0,0.402,2.5,0,17
Kyle O'Quinn,ORL,13/14,6.2,5.3,1.1,0.28,2.5,0,22
Luis Scola,IND,13/14,7.6,4.8,1.0,0.683,2.5,0,4
Ömer Aşık,HOU,13/14,5.8,7.9,0.5,0.659,2.4,0,5
Jared Dudley,LAC,13/14,6.9,2.2,1.4,0.695,2.4,0,3
Omri Casspi,HOU,13/14,6.9,3.7,1.2,0.659,2.4,0,5
Jeff Ayres,SAS,13/14,3.3,3.5,0.8,0.756,2.4,0,1
Karl-Anthony Towns,MIN,17/18,21.3,12.3,2.4,0.573,14.0,0,9
Nikola Jokić,DEN,17/18,18.5,10.7,6.1,0.561,10.7,0,10
Andre Drummond,DET,17/18,15.0,16.0,3.0,0.476,10.3,0,14
Clint Capela,HOU,17/18,13.9,10.8,0.9,0.793,10.2,0,1
Chris Paul,HOU,17/18,18.6,5.4,7.9,0.793,10.2,0,1
Kyle Lowry,TOR,17/18,16.2,5.6,6.9,0.72,10.2,0,2
Steven Adams,OKC,17/18,13.9,9.0,1.2,0.585,9.7,0,8
DeAndre Jordan,LAC,17/18,12.0,15.2,1.5,0.512,9.4,0,13
Ben Simmons,PHI,17/18,15.8,8.1,8.2,0.634,9.2,0,5
Kyrie Irving,BOS,17/18,24.4,3.8,5.1,0.671,8.9,0,4
Paul George,OKC,17/18,21.9,5.7,3.3,0.585,8.9,0,8
Kemba Walker,CHO,17/18,22.1,3.1,5.6,0.439,8.6,0,15
Otto Porter Jr.,WAS,17/18,14.7,6.4,2.0,0.524,8.1,0,12
Rudy Gobert,UTA,17/18,13.5,10.7,1.4,0.585,8.1,0,8
Derrick Favors,UTA,17/18,12.3,7.2,1.3,0.585,8.0,0,8
Al Horford,BOS,17/18,12.9,7.4,4.7,0.671,7.8,0,4
Darren Collison,IND,17/18,12.4,2.6,5.3,0.585,7.6,0,8
Joe Ingles,UTA,17/18,11.5,4.2,4.8,0.585,7.6,0,8
Jonas Valančiūnas,TOR,17/18,12.7,8.6,1.1,0.72,7.6,0,2
Enes Freedom,NYK,17/18,14.1,11.0,1.5,0.354,7.5,0,17
Taj Gibson,MIN,17/18,12.2,7.1,1.2,0.573,7.2,0,9
Jrue Holiday,NOP,17/18,19.0,4.5,6.0,0.585,7.1,0,8
Jayson Tatum,BOS,17/18,13.9,5.0,1.6,0.671,7.1,0,4
Bradley Beal,WAS,17/18,22.6,4.4,4.5,0.524,6.9,0,12
Khris Middleton,MIL,17/18,20.1,5.2,4.0,0.537,6.9,0,11
Dwight Howard,CHO,17/18,16.6,12.5,1.3,0.439,6.8,0,15
Lou Williams,LAC,17/18,22.6,2.5,5.3,0.512,6.7,0,13
Dwight Powell,DAL,17/18,8.5,5.6,1.2,0.293,6.6,0,21
JJ Redick,PHI,17/18,17.1,2.5,3.0,0.634,6.6,0,5
Julius Randle,LAL,17/18,16.1,8.0,2.6,0.427,6.6,0,16
Dario Šarić,PHI,17/18,14.6,6.7,2.6,0.634,6.6,0,5
CJ McCollum,POR,17/18,21.4,4.0,3.4,0.598,6.6,0,7
Kevin Love,CLE,17/18,17.6,9.3,1.7,0.61,6.4,0,6
Kyle Anderson,SAS,17/18,7.9,5.4,2.7,0.573,6.2,0,9
Will Barton,DEN,17/18,15.7,5.0,4.1,0.561,6.2,0,10
Robert Covington,PHI,17/18,12.6,5.4,2.0,0.634,6.1,0,5
Draymond Green,GSW,17/18,11.0,7.6,7.3,0.707,6.1,0,3
Pau Gasol,SAS,17/18,10.1,8.0,3.1,0.573,6.0,0,9
Spencer Dinwiddie,BRK,17/18,12.6,3.2,6.6,0.341,5.7,0,18
Terry Rozier,BOS,17/18,11.2,4.7,2.9,0.671,5.6,0,4
Jakob Poeltl,TOR,17/18,6.9,4.8,0.7,0.72,5.6,0,2
Jamal Murray,DEN,17/18,16.7,3.7,3.4,0.561,5.5,0,10
Montrezl Harrell,LAC,17/18,11.0,4.0,1.0,0.512,5.5,0,13
Kelly Olynyk,MIA,17/18,11.5,5.7,2.7,0.537,5.5,0,11
Thaddeus Young,IND,17/18,11.8,6.3,1.9,0.585,5.5,0,8
Gary Harris,DEN,17/18,17.5,2.6,2.9,0.561,5.5,0,10
John Collins,ATL,17/18,10.5,7.3,1.3,0.293,5.4,0,21
Bojan Bogdanović,IND,17/18,14.3,3.4,1.5,0.585,5.4,0,8
Josh Richardson,MIA,17/18,12.9,3.5,2.9,0.537,5.4,0,11
Jerami Grant,OKC,17/18,8.4,3.9,0.7,0.585,5.4,0,8
Trevor Ariza,HOU,17/18,11.7,4.4,1.6,0.793,5.3,0,1
Anthony Tolliver,DET,17/18,8.9,3.1,1.1,0.476,5.3,0,14
Hassan Whiteside,MIA,17/18,14.0,11.4,1.0,0.537,5.3,0,11
Kentavious Caldwell-Pope,LAL,17/18,13.4,5.2,2.2,0.427,5.3,0,16
Goran Dragić,MIA,17/18,17.3,4.1,4.8,0.537,5.3,0,11
Ricky Rubio,UTA,17/18,13.1,4.6,5.3,0.585,5.3,0,8
Donovan Mitchell,UTA,17/18,20.5,3.7,3.7,0.585,5.2,0,8
Serge Ibaka,TOR,17/18,12.6,6.3,0.8,0.72,5.1,0,2
Ed Davis,POR,17/18,5.3,7.4,0.5,0.598,5.0,0,7
Marvin Williams,CHO,17/18,9.5,4.7,1.2,0.439,5.0,0,15
Tomáš Satoranský,WAS,17/18,7.2,3.2,3.9,0.524,5.0,0,12
James Johnson,MIA,17/18,10.8,4.9,3.8,0.537,5.0,0,11
Jeremy Lamb,CHO,17/18,12.9,4.0,2.3,0.439,4.9,0,15
John Henson,MIL,17/18,8.8,6.8,1.5,0.537,4.9,0,11
Klay Thompson,GSW,17/18,20.0,3.8,2.5,0.707,4.9,0,3
Marcin Gortat,WAS,17/18,8.4,7.6,1.8,0.524,4.9,0,12
Jeff Teague,MIN,17/18,14.2,3.0,7.0,0.573,4.9,0,9
Kyle O'Quinn,NYK,17/18,7.1,6.1,2.1,0.354,4.8,0,17
Dirk Nowitzki,DAL,17/18,12.0,5.7,1.6,0.293,4.8,0,21
Ryan Anderson,HOU,17/18,9.3,5.0,0.9,0.793,4.8,0,1
Domantas Sabonis,IND,17/18,11.6,7.7,2.0,0.585,4.7,0,8
Fred VanVleet,TOR,17/18,8.6,2.4,3.2,0.72,4.7,0,2
Eric Gordon,HOU,17/18,18.0,2.5,2.2,0.793,4.7,0,1
DeMarcus Cousins,NOP,17/18,25.2,12.9,5.4,0.585,4.7,0,8
Jusuf Nurkić,POR,17/18,14.3,9.0,1.8,0.598,4.7,0,7
Myles Turner,IND,17/18,12.7,6.4,1.3,0.585,4.7,0,8
Pascal Siakam,TOR,17/18,7.3,4.5,2.0,0.72,4.7,0,2
Delon Wright,TOR,17/18,8.0,2.9,2.9,0.72,4.5,0,2
Jaylen Brown,BOS,17/18,14.5,4.9,1.6,0.671,4.5,0,4
Alex Len,PHO,17/18,8.5,7.5,1.2,0.256,4.5,0,23
Wayne Ellington,MIA,17/18,11.2,2.8,1.0,0.537,4.5,0,11
E'Twaun Moore,NOP,17/18,12.5,2.9,2.3,0.585,4.4,0,8
Ish Smith,DET,17/18,10.9,2.7,4.4,0.476,4.4,0,14
Tyreke Evans,MEM,17/18,19.4,5.1,5.2,0.268,4.2,0,22
Jarrett Allen,BRK,17/18,8.2,5.4,0.7,0.341,4.2,0,18
Reggie Bullock,DET,17/18,11.3,2.5,1.5,0.476,4.2,0,14
Bam Adebayo,MIA,17/18,6.9,5.5,1.5,0.537,4.2,0,11
Al-Farouq Aminu,POR,17/18,9.3,7.6,1.2,0.598,4.2,0,7
Tyler Johnson,MIA,17/18,11.7,3.4,2.3,0.537,4.2,0,11
Rondae Hollis-Jefferson,BRK,17/18,13.9,6.8,2.5,0.341,4.1,0,18
DeMarre Carroll,BRK,17/18,13.5,6.6,2.0,0.341,4.1,0,18
Amir Johnson,PHI,17/18,4.6,4.5,1.6,0.634,4.1,0,5
Patty Mills,SAS,17/18,10.0,1.9,2.8,0.573,4.1,0,9
D.J. Augustin,ORL,17/18,10.2,2.1,3.8,0.305,4.1,0,20
Marc Gasol,MEM,17/18,17.2,8.1,4.2,0.268,4.0,0,22
Joe Harris,BRK,17/18,10.8,3.3,1.6,0.341,4.0,0,18
Courtney Lee,NYK,17/18,12.0,2.9,2.4,0.354,3.9,0,17
Jeff Green,CLE,17/18,10.8,3.2,1.3,0.61,3.9,0,6
P.J. Tucker,HOU,17/18,6.1,5.6,0.9,0.793,3.9,0,1
Willie Cauley-Stein,SAC,17/18,12.8,7.0,2.4,0.329,3.9,0,19
Trey Lyles,DEN,17/18,9.9,4.8,1.2,0.561,3.9,0,10
Kosta Koufos,SAC,17/18,6.7,6.6,1.2,0.329,3.9,0,19
Harrison Barnes,DAL,17/18,18.9,6.1,2.0,0.293,3.8,0,21
Kyle Kuzma,LAL,17/18,16.1,6.3,1.8,0.427,3.8,0,16
T.J. McConnell,PHI,17/18,6.3,3.0,4.0,0.634,3.8,0,5
Brook Lopez,LAL,17/18,13.0,4.0,1.7,0.427,3.8,0,16
Kelly Oubre Jr.,WAS,17/18,11.8,4.5,1.2,0.524,3.7,0,12
Carmelo Anthony,OKC,17/18,16.2,5.8,1.3,0.585,3.7,0,8
Dewayne Dedmon,ATL,17/18,10.0,7.9,1.5,0.293,3.7,0,21
Frank Kaminsky,CHO,17/18,11.1,3.6,1.6,0.439,3.6,0,15
Mason Plumlee,DEN,17/18,7.1,5.4,1.9,0.561,3.6,0,10
Tyus Jones,MIN,17/18,5.1,1.6,2.8,0.573,3.6,0,9
Rajon Rondo,NOP,17/18,8.3,4.0,8.2,0.585,3.6,0,8
Nikola Vučević,ORL,17/18,16.5,9.2,3.4,0.305,3.6,0,20
David West,GSW,17/18,6.8,3.3,1.9,0.707,3.5,0,3
Nicolas Batum,CHO,17/18,11.6,4.8,5.5,0.439,3.5,0,15
Daniel Theis,BOS,17/18,5.3,4.3,0.9,0.671,3.5,0,4
Bobby Portis,CHI,17/18,13.2,6.8,1.7,0.329,3.5,0,19
T.J. Warren,PHO,17/18,19.6,5.1,1.3,0.256,3.4,0,23
Kyle Korver,CLE,17/18,9.2,2.3,1.2,0.61,3.4,0,6
Jonas Jerebko,UTA,17/18,5.8,3.3,0.6,0.585,3.4,0,8
Josh Hart,LAL,17/18,7.9,4.2,1.3,0.427,3.4,0,16
Evan Fournier,ORL,17/18,17.8,3.2,2.9,0.305,3.3,0,20
Jerian Grant,CHI,17/18,8.4,2.3,4.6,0.329,3.3,0,19
Lauri Markkanen,CHI,17/18,15.2,7.5,1.2,0.329,3.3,0,19
Markieff Morris,WAS,17/18,11.5,5.6,1.9,0.524,3.3,0,12
Zaza Pachulia,GSW,17/18,5.4,4.7,1.6,0.707,3.3,0,3
J.J. Barea,DAL,17/18,11.6,2.9,6.3,0.293,3.3,0,21
Wilson Chandler,DEN,17/18,10.0,5.4,2.1,0.561,3.3,0,10
Michael Kidd-Gilchrist,CHO,17/18,9.2,4.1,1.0,0.439,3.3,0,15
Marcus Morris,BOS,17/18,13.6,5.4,1.3,0.671,3.2,0,4
Shabazz Napier,POR,17/18,8.7,2.3,2.0,0.598,3.2,0,7
Maurice Harkless,POR,17/18,6.5,2.7,0.9,0.598,3.2,0,7
Allen Crabbe,BRK,17/18,13.2,4.3,1.6,0.341,3.2,0,18
