Player,Team,Season,PPG,RPG,APG,Winrate,MVP
Manu Ginobili,SAS,05_06,15.1,3.5,3.6,0.768,0
Brad Miller,SAC,05_06,15.0,7.8,4.7,0.537,0
Hedo Turkoglu,ORL,05_06,14.9,4.3,2.8,0.439,0
Lamar Odom,LAL,05_06,14.8,9.2,5.5,0.549,0
Cuttino Mobley,LAC,05_06,14.8,4.3,3.0,0.573,0
Raja Bell,PHO,05_06,14.7,3.2,2.6,0.659,0
Jameer Nelson,ORL,05_06,14.6,2.9,4.9,0.439,0
Steve Francis,NYKORL,05_06,14.4,4.1,4.9,,0
Jamal Crawford,NYK,05_06,14.3,3.1,3.8,0.28,0
Luol Deng,CHI,05_06,14.3,6.6,1.9,0.5,0
Tayshaun Prince,DET,05_06,14.1,4.2,2.3,0.78,0
Troy Murphy,GSW,05_06,14.0,10.0,1.4,0.415,0
Darius Miles,POR,05_06,14.0,4.6,1.8,0.256,0
Andre Miller,DEN,05_06,13.7,4.3,8.2,0.537,0
Mike Miller,MEM,05_06,13.7,5.4,2.7,0.598,0
Eddy Curry,NYK,05_06,13.6,6.0,0.3,0.28,0
Bonzi Wells,SAC,05_06,13.6,7.7,2.8,0.537,0
Nenad Krstic,NJN,05_06,13.5,6.4,1.1,0.598,0
Bobby Simmons,MIL,05_06,13.4,4.4,2.3,0.488,0
Boris Diaw,PHO,05_06,13.3,6.9,6.2,0.659,0
Jason Kidd,NJN,05_06,13.3,7.2,8.4,0.598,0
Derek Fisher,GSW,05_06,13.3,2.6,4.3,0.415,0
Emeka Okafor,CHA,05_06,13.2,10.0,1.2,0.317,0
Leandro Barbosa,PHO,05_06,13.1,2.6,2.8,0.659,0
Jerry Stackhouse,DAL,05_06,13.0,2.8,2.9,0.732,0
Charlie Villanueva,TOR,05_06,13.0,6.4,1.1,0.329,0
Andres Nocioni,CHI,05_06,13.0,6.1,1.4,0.5,0
Kenyon Martin,DEN,05_06,12.9,6.3,1.4,0.537,0
Marcus Camby,DEN,05_06,12.8,11.9,2.1,0.537,0
Brevin Knight,CHA,05_06,12.6,3.2,8.8,0.317,0
Earl Boykins,DEN,05_06,12.6,1.4,3.8,0.537,0
Matt Harpring,UTA,05_06,12.5,5.2,1.4,0.5,0
Primoz Brezec,CHA,05_06,12.4,5.6,0.6,0.317,0
Jason Williams,MIA,05_06,12.3,2.4,4.9,0.634,0
Channing Frye,NYK,05_06,12.3,5.8,0.8,0.28,0
Shareef Abdur-Rahim,SAC,05_06,12.3,5.0,2.1,0.537,0
Jalen Rose,NYKTOR,05_06,12.3,2.9,2.5,,0
Juan Dixon,POR,05_06,12.3,2.3,2.0,0.256,0
Andre Iguodala,PHI,05_06,12.3,5.9,3.1,0.463,0
Speedy Claxton,NOK,05_06,12.3,2.7,4.8,0.463,0
Antoine Walker,MIA,05_06,12.2,5.1,2.0,0.634,0
T.J. Ford,MIL,05_06,12.2,4.3,6.6,0.488,0
Mo Williams,MIL,05_06,12.1,2.5,4.0,0.488,0
Ruben Patterson,DENPOR,05_06,12.1,3.4,1.8,,0
Rafer Alston,HOU,05_06,12.1,4.0,6.7,0.415,0
Chris Kaman,LAC,05_06,11.9,9.6,1.0,0.573,0
Raymond Felton,CHA,05_06,11.9,3.3,5.6,0.317,0
Eddie Jones,MEM,05_06,11.8,3.7,2.4,0.598,0
Juwan Howard,HOU,05_06,11.8,6.7,1.4,0.415,0
Delonte West,BOS,05_06,11.8,4.1,4.6,0.402,0
Damon Stoudamire,MEM,05_06,11.7,3.5,4.7,0.598,0
Zaza Pachulia,ATL,05_06,11.7,7.9,1.7,0.317,0
Luke Ridnour,SEA,05_06,11.5,3.0,7.0,0.427,0
Mike Dunleavy,GSW,05_06,11.5,4.9,2.9,0.415,0
