Player,Team,PPG,APG,WS,Season,RPG
Max Christie,DAL,9.6,1.9,2.7,2024-25,3.3
Kelly Oubre Jr.,PHI,15.1,1.8,2.6,2024-25,6.1
Vit Krejci,ATL,7.2,2.6,2.6,2024-25,2.7
Trey Lyles,SAC,6.5,1.2,2.6,2024-25,4.6
Grayson Allen,PHO,10.6,2.1,2.5,2024-25,3.0
Ayo Dosunmu,CHI,12.3,4.5,2.5,2024-25,3.5
Isaac Okoro,CLE,6.1,1.2,2.5,2024-25,2.4
Jay Huff,MEM,6.9,0.6,2.5,2024-25,2.0
Zion Williamson,NOP,24.6,5.3,2.5,2024-25,7.2
Peyton Watson,DEN,8.1,1.4,2.5,2024-25,3.4
Nikola Jović,MIA,10.7,2.8,2.5,2024-25,3.9
