Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,ORtg,DRtg,PER,BPM,USG%,VORP,is_outlier
Gordon Hayward,UTA,11/12,0.041095890410959006,-0.32258064516129026,0.5,0.0,0.2592592592592593,0,0.1111111111111111,0.14285714285714285,0.0,0.47826086956521746,-0.1857142857142858,0.5833333333333333,False
Wesley Matthews,POR,11/12,0.30136986301369856,-0.3548387096774193,-0.13636363636363638,-0.6205128205128208,0.22222222222222207,0,-0.2222222222222222,0.0,-0.31818181818181823,-0.04347826086956524,-0.057142857142857446,0.1666666666666666,False
Nicolas Batum,POR,11/12,0.3287671232876713,0.03225806451612891,-0.27272727272727276,-0.6205128205128208,0.22222222222222207,0,0.0,-0.14285714285714285,0.4090909090909092,0.9130434782608696,0.1999999999999998,0.7499999999999998,False
Brandon Bass,BOS,11/12,0.13698630136986303,0.5483870967741935,-0.5,0.23589743589743553,0.18518518518518517,0,-1.0,-1.2857142857142858,-0.31818181818181823,-0.6086956521739131,0.0999999999999999,-0.5,False
Ray Allen,BOS,11/12,0.3698630136986301,-0.45161290322580633,0.18181818181818177,0.23589743589743553,0.18518518518518517,0,-0.1111111111111111,-1.0,-0.15909090909090892,0.7826086956521741,-0.07142857142857142,0.41666666666666663,False
Tiago Splitter,SAS,11/12,-0.30136986301369856,0.22580645161290325,-0.409090909090909,1.0923076923076922,0.14814814814814795,0,0.5555555555555556,-0.8571428571428571,1.1363636363636362,0.6956521739130436,0.22857142857142826,0.0,False
Kenneth Faried,DEN,11/12,-0.17808219178082205,1.032258064516129,-0.5454545454545454,0.15897435897435855,0.14814814814814795,0,1.2222222222222223,-0.7142857142857143,1.4545454545454541,0.7826086956521741,-0.057142857142857446,0.0,False
Danny Green,SAS,11/12,-0.3287671232876713,-0.32258064516129026,-0.3181818181818181,1.0923076923076922,0.11111111111111104,0,0.0,-0.7142857142857143,0.0,1.1304347826086958,-0.21428571428571427,0.6666666666666664,False
Nikola Peković,MIN,11/12,0.3287671232876713,0.9354838709677419,-0.5909090909090908,-0.7743589743589745,0.11111111111111104,0,0.5555555555555556,-0.14285714285714285,1.3409090909090904,0.2608695652173913,0.3999999999999996,-0.0833333333333334,False
Rodney Stuckey,DET,11/12,0.4520547945205481,-0.6129032258064515,0.818181818181818,-0.8512820512820515,0.11111111111111104,0,0.0,0.14285714285714285,0.47727272727272757,0.08695652173913042,0.6571428571428568,0.0,False
Taj Gibson,CHI,11/12,-0.5205479452054795,0.25806451612903214,-0.5909090909090908,1.0923076923076922,0.11111111111111104,0,-0.3333333333333333,-1.7142857142857142,0.31818181818181784,0.1739130434782609,-0.07142857142857142,-0.16666666666666669,False
