Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
65;Greg Monroe;5.6;2016-17;26;MIL;81;0;0;5.6;111;105;3;2.6;0.147;1.3;0.5;1.8;1.7;21.1;10.8;23.1;17;17.3;2.6;1.8;14.4;24.3;C-F;monrogr01
66;Eric Bledsoe;5.3;2016-17;27;PHO;66;66;0;5.3;111;112;4;1.4;0.118;3.7;-0.1;3.6;3.1;20.5;2.5;13.8;8;31.1;2;1.2;15.3;28.1;G;bledser01
67;Patrick Beverley;5.3;2016-17;28;HOU;67;67;0;5.3;116;108;2.9;2.4;0.123;-0.2;1.4;1.1;1.6;13;5;15.8;10.4;18.8;2.3;1;14.6;14.1;G;beverpa01
68;Dewayne Dedmon;5.2;2016-17;27;SAS;76;37;0;5.2;122;99;2.3;3;0.189;-1.4;2;0.6;0.9;16;11.2;30.6;21.1;4.8;1.4;3.7;16.9;12.3;C;dedmode01
69;Ryan Anderson;5.2;2016-17;28;HOU;72;72;0;5.2;119;113;4;1.1;0.117;1.7;-2;-0.4;0.9;13.5;5.8;11.2;8.5;4.7;0.7;0.5;6.2;17.9;F;anderry01
70;Serge Ibaka;5.1;2016-17;27;ORLTOR;79;79;0;5.1;109;109;2.5;2.6;0.101;0.4;-0.3;0.1;1.2;16.4;5.7;19;12.2;5.2;0.8;4.2;9.2;20.9;F-C;ibakase01
71;Patty Mills;5.1;2016-17;28;SAS;80;8;0;5.1;114;107;2.9;2.2;0.139;1.4;0.2;1.6;1.6;15.2;1.6;7.4;4.6;24.3;1.9;0.1;13.3;19.5;G;millspa02
72;James Johnson;5.1;2016-17;29;MIA;76;5;0;5.1;107;105;1.9;3.2;0.117;1.1;1.7;2.8;2.5;17;3.5;16.6;10;20.9;1.8;3.2;16.5;22;F;johnsja01
73;Joe Ingles;5;2016-17;29;UTA;82;26;0;5;112;105;2;3;0.123;-0.7;2.3;1.6;1.8;12.4;1.4;13.6;7.6;17.2;2.6;0.3;18.2;13.9;F-G;inglejo01
74;Marvin Williams;5;2016-17;30;CHO;76;76;0;5;111;108;2.4;2.6;0.105;-0.1;0.1;0;1.1;13.7;4.2;19.8;12;7.1;1.3;2;7.2;16.3;F;willima02
