;;;;;;;;;;;;;;Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
;;;;;;;;;;;;;;69;Terance Mann;5.5;2021-22;25;LAC;81;33;0;5.5;117;112;3.1;2.4;0.113;-0.8;0.2;-0.6;0.8;13.4;4.9;14.3;9.7;13.1;1.2;0.8;9.9;16;G-F;mannte01
;;;;;;;;;;;;;;70;Isaiah Hartenstein;5.5;2021-22;23;LAC;68;0;0;5.5;127;106;3.3;2.2;0.215;1.4;3.1;4.5;2;22;10.5;18.2;14.5;20.5;2;5.4;16.5;18.4;F;harteis01
;;;;;;;;;;;;;;71;Monte Morris;5.4;2021-22;26;DEN;75;74;0;5.4;120;115;3.9;1.5;0.116;0.8;-0.8;0;1.1;14.7;1.4;9.6;5.6;21.4;1.2;0.6;8.8;17.4;G;morrimo01
;;;;;;;;;;;;;;72;Jaren Jackson Jr.;5.4;2021-22;22;MEM;78;78;0;5.4;109;106;1.7;3.7;0.121;-0.9;0.8;-0.1;1;17;5.7;16.9;11.2;5.8;1.6;7.4;9.9;25.4;F;jacksja02
;;;;;;;;;;;;;;73;Khris Middleton;5.3;2021-22;30;MIL;66;66;1;5.3;112;112;3.2;2.2;0.119;1.9;-0.3;1.6;1.9;18.1;2.1;15.3;8.8;25.5;1.7;0.8;14.2;26.7;F-G;middlkh01
;;;;;;;;;;;;;;74;Bojan Bogdanović;5.2;2021-22;32;UTA;69;69;0;5.2;116;115;3.6;1.6;0.118;1.6;-1.6;0;1.1;15.7;3.1;11.8;7.6;8.7;0.8;0;10.2;23.7;G-F;bogdabo02
;;;;;;;;;;;;;;75;Evan Mobley;5.2;2021-22;20;CLE;69;69;0;5.2;109;107;1.5;3.7;0.107;-0.9;1.5;0.6;1.5;16.1;6.9;19.8;13.5;11.6;1.2;4.4;12.4;20.4;F-C;mobleev01
;;;;;;;;;;;;;;76;Aaron Gordon;5.2;2021-22;26;DEN;75;75;0;5.2;115;114;3.2;2;0.105;0.5;-1.1;-0.6;0.9;15.3;6.1;14.3;10.3;11.6;0.9;1.7;12.5;19.7;F;gordoaa01
;;;;;;;;;;;;;;77;Gary Payton II;5.2;2021-22;29;GSW;71;16;0;5.2;129;103;2.5;2.6;0.199;0.3;3.4;3.7;1.8;17.8;6.5;14.9;10.8;7.6;3.8;1.7;9.8;14.3;G;paytoga02
;;;;;;;;;;;;;;78;Andrew Wiggins;5.1;2021-22;26;GSW;73;73;1;5.1;109;109;1.8;3.4;0.105;0.3;0.1;0.4;1.4;15;4.1;10.9;7.6;10.8;1.6;2.1;9;23.1;F-G;wiggian01
;;;;;;;;;;;;;;79;Derrick White;5.1;2021-22;27;BOSSAS;75;52;0;5.1;114;112;2.8;2.3;0.111;0.4;0.6;0.9;1.6;14.8;1.8;10.7;6.3;22.9;1.4;2.3;11.6;19.9;G;whitede01
;;;;;;;;;;;;;;80;Andre Drummond;5.1;2021-22;28;BRKPHI;73;36;0;5.1;114;102;2;3.1;0.17;-0.1;1.4;1.3;1.2;21;18;34.1;26.2;13.7;2.7;4.2;18.5;19;C;drumman01
;;;;;;;;;;;;;;81;Tyus Jones;5.1;2021-22;25;MEM;73;23;0;5.1;125;112;3.4;1.6;0.158;1.2;0.5;1.7;1.4;16.5;1.1;11;5.9;28.2;2;0.1;7.3;16.6;G;jonesty01
;;;;;;;;;;;;;;82;Grant Williams;5.1;2021-22;23;BOS;77;21;0;5.1;122;109;2.4;2.6;0.13;-1.4;1.1;-0.4;0.8;11.2;3.8;11.8;7.9;5.7;1;2.8;11.6;12.6;F;willigr01
;;;;;;;;;;;;;;83;Jaxson Hayes;5.1;2021-22;21;NOP;70;28;0;5.1;132;113;3.7;1.3;0.174;0.6;-0.3;0.2;0.8;18.5;8.9;16.2;12.5;4.7;1.2;3.8;10.1;16.4;F;hayesja02
;;;;;;;;;;;;;;84;John Collins;5.1;2021-22;24;ATL;54;53;0;5.1;122;114;3.6;1.4;0.146;1.5;0;1.5;1.5;18.7;6.2;21.5;13.9;8.9;1;3;7.7;20.5;F;collijo01
;;;;;;;;;;;;;;85;P.J. Tucker;5;2021-22;36;MIA;71;70;0;5;120;110;2.4;2.6;0.121;-0.8;1.4;0.6;1.3;11.3;5.8;16.2;11.1;10.6;1.5;0.8;12.7;11.7;F;tuckepj01
;;;;;;;;;;;;;;86;Wendell Carter Jr.;5;2021-22;22;ORL;62;61;0;5;115;110;2.6;2.4;0.129;1;0.6;1.6;1.7;18.4;7.9;29.1;18.5;15.4;0.9;2.1;13.1;20.9;C;cartewe01
;;;;;;;;;;;;;;87;Lauri Markkanen;5;2021-22;24;CLE;61;61;0;5;117;110;2.7;2.3;0.127;0.4;-0.1;0.4;1.1;14.7;3.5;16.5;10.2;6.6;1.2;1.4;6.5;19.5;F-C;markkla01
;;;;;;;;;;;;;;88;JaVale McGee;4.9;2021-22;34;PHO;74;17;0;4.9;118;102;2.4;2.6;0.201;-0.1;0.9;0.8;0.8;22.6;15.3;29.7;22.7;5.4;0.9;6.1;15.8;22.8;C;mcgeeja01
;;;;;;;;;;;;;;89;Keldon Johnson;4.9;2021-22;22;SAS;75;74;0;4.9;114;114;2.9;2;0.099;0.7;-1.2;-0.5;0.9;15.2;3.5;16.7;10;9.5;1.2;0.5;7.6;21.3;G;johnske04
;;;;;;;;;;;;;;90;Otto Porter Jr.;4.9;2021-22;28;GSW;63;15;0;4.9;121;104;2.2;2.7;0.168;1;2.1;3.1;1.8;15.9;6.9;21;14.2;9.6;2.4;2;7.7;15;F;porteot01
;;;;;;;;;;;;;;91;Christian Wood;4.9;2021-22;26;HOU;68;67;0;4.9;114;113;2.9;2;0.112;2.1;-0.4;1.6;1.9;19.1;5.7;30.4;18;12.2;1.2;2.8;11;23.3;F;woodch01
;;;;;;;;;;;;;;92;Bruce Brown;4.8;2021-22;25;BRK;72;45;0;4.8;121;111;2.8;2;0.13;-0.4;1.1;0.7;1.2;15;6.3;14.7;10.6;11.5;2.1;2.6;9.1;15;G-F;brownbr01
;;;;;;;;;;;;;;93;Mason Plumlee;4.7;2021-22;31;CHO;73;73;0;4.7;122;111;2.7;2;0.127;-1.5;1.5;0;0.9;14.7;10.2;23.3;16.7;16.4;1.6;2.7;20.2;11.7;C-F;plumlma01
;;;;;;;;;;;;;;94;Herbert Jones;4.6;2021-22;23;NOP;78;69;0;4.6;114;112;2.1;2.5;0.096;-2;1.5;-0.5;0.9;12.3;4.5;9.6;7;10;2.7;2.5;13.4;13.7;F;joneshe01
;;;;;;;;;;;;;;95;Shai Gilgeous-Alexander;4.6;2021-22;23;OKC;56;56;0;4.6;111;113;2.8;1.8;0.113;2.9;0.5;3.4;2.7;20.9;1.9;13;7.4;31.1;1.8;2.2;11.1;30.8;G;gilgesh01
